"id" "minor" "coverage" "error"
"etort-247" 12 34109 0.000351813304406462
"etort-248" 7 37826 0.00018505789668482
"etort-249" 8 31998 0.000250015625976624
"etort-250" 18 89294 0.000201581293255986
"etort-252" 12 67255 0.000178425395881347
"etort-253" 6 54895 0.00010929957191001
"etort-254" 18 72532 0.000248166326586886
"etort-255" 8 46131 0.000173419175825367
"etort-256" 9 49210 0.000182889656573867
"etort-257" 17 45604 0.000372774318042277
"etort-258" 30 45663 0.00065698705735497
"etort-259" 11 42906 0.000256374399850837
"etort-260" 7 36936 0.000189517002382499
"etort-261" 18 45621 0.000394555139080687
"etort-262" 20 40433 0.000494645462864492
"etort-263" 13 38237 0.000339984831445982
"etort-264" 17 40732 0.000417362270450751
"etort-266" 20 44143 0.0004530729674014
"etort-267" 25 102789 0.000243216686610435
"etort-268" 13 65599 0.000198173752648668
"etort-269" 17 80027 0.000212428305446912
"etort-270" 35 104179 0.000335960222309679
"etort-271" 8 67943 0.000117745757473176
"etort-272" 25 109475 0.000228362639872117
"etort-273" 11 79836 0.000137782454030763
"etort-274" 14 91684 0.000152698398848218
"etort-275" 5 54989 0.0000909272763643638
"etort-276" 6 65029 0.0000922665272416922
"etort-277" 9 52478 0.000171500438278898
"etort-278" 18 69489 0.00025903380391141
"etort-282" 21 59820 0.000351053159478435
"etort-283" 17 69317 0.000245250082952234
"etort-284" 16 58037 0.000275686200182642
"etort-285" 4 45056 0.0000887784090909091
"etort-286" 13 47547 0.000273413674890109
"etort-287" 16 39500 0.000405063291139241
"etort-296" 16 56930 0.000281046899701388
"etort-297" 24 40248 0.000596302921884317
