"longitude","latitude","id"
"-116.788055848038","36.9309820006441","etort-1"
"-116.667751074247","33.948603770254","etort-2"
"-115.956071798994","34.2272482973235","etort-3"
"-115.698633532813","34.2654922349715","etort-4"
"-115.693745753742","34.6353071733386","etort-5"
"-114.751101309016","35.1860320125106","etort-6"
"-114.73946376196","35.4183208932966","etort-7"
"-115.044145332469","35.4198375952531","etort-8"
"-114.647248091798","34.2747354907452","etort-9"
"-117.544600446939","34.7344028420823","etort-10"
"-116.729217882579","34.9978308177814","etort-11"
"-115.757297701101","35.530354114219","etort-12"
"-115.722683519048","33.8195519607491","etort-13"
"-115.848028539051","33.6347686522657","etort-14"
"-114.511422108082","36.4570696787939","etort-15"
"-115.967755944229","34.8222575558516","etort-16"
"-114.079032634644","36.9440606919618","etort-17"
"-116.900502314514","34.8397076535688","etort-18"
"-115.611284537538","34.0436177586475","etort-19"
"-115.725148281064","34.0401710426443","etort-20"
"-117.384048648928","34.9511037099672","etort-21"
"-117.3353483702","34.8092483123026","etort-22"
"-116.448015910001","35.0550031603146","etort-23"
"-116.845800202864","35.2561624230584","etort-24"
"-116.710118652466","35.1401788889286","etort-25"
"-114.51477847349","34.1708667383348","etort-26"
"-117.644179090152","35.2270355354783","etort-27"
"-117.724996671212","35.3497475502548","etort-28"
"-114.865448758381","35.5423664986322","etort-30"
"-114.270981514277","36.7829673733917","etort-31"
"-114.862406028387","35.3816258293472","etort-32"
"-114.940197462323","34.8052044460371","etort-33"
"-114.621920195568","34.4025650535754","etort-34"
"-115.010760254531","35.5322673697997","etort-35"
"-116.177040973441","36.0908088959373","etort-36"
"-116.595945043131","36.734325698947","etort-37"
"-114.963030414718","36.4760014215536","etort-38"
"-114.538064356444","34.4525177717512","etort-39"
"-114.717223094235","34.6209447404318","etort-40"
"-114.832872976931","34.9859547409469","etort-41"
"-114.829867809776","35.139735244329","etort-42"
"-115.404958558198","34.9042888892301","etort-43"
"-115.393342344133","34.9230340957024","etort-44"
"-115.294476905618","34.8035193487134","etort-45"
"-115.435897346436","35.2937107192142","etort-46"
"-115.416000169272","35.2989964677778","etort-47"
"-115.424030803303","35.319278849178","etort-48"
"-115.64944359224","35.0775664688063","etort-49"
"-115.625394206231","35.0623198991657","etort-50"
"-115.634942180384","35.0394627496034","etort-51"
"-115.441114213247","34.8999253052852","etort-52"
"-114.489447270176","36.2686741851855","etort-53"
"-115.39946401808","34.9651669485544","etort-54"
"-115.410431606921","35.3256102040439","etort-55"
"-115.757064402626","35.5783434561886","etort-56 (sheared2)"
"-115.531788523242","33.6102879562185","etort-57"
"-115.204879999336","37.3569081622465","etort-58"
"-114.969271007628","35.7830567840639","etort-59"
"-116.809812764692","34.5470596578922","etort-60 (sheared2)"
"-115.798882180512","33.6885211041636","etort-61"
"-114.905246501561","36.0420172319123","etort-62"
"-115.672476105662","34.0869575941575","etort-63"
"-116.039913378405","34.0725764093324","etort-64"
"-115.738338474364","33.8416998145166","etort-65"
"-116.257006773088","34.0814218352833","etort-66"
"-116.173598253161","34.0261649825388","etort-67"
"-116.15176827846","34.1092566279513","etort-68"
"-116.461284981343","34.7162312779492","etort-69"
"-115.626227058184","35.0944098210439","etort-70"
"-115.54070538398","33.6695265375343","etort-71"
"-115.693685268786","33.4875832282517","etort-72"
"-115.548853789161","34.1059214714368","etort-73"
"-116.546087468412","34.7659848554274","etort-74"
"-115.693656200789","35.0899255988668","etort-75"
"-115.676328282454","35.0835523409812","etort-76"
"-115.711261404359","34.7011652419936","etort-77"
"-115.79767189427","36.5347497706331","etort-78"
"-115.680758228949","35.9449516500963","etort-79"
"-115.780506640515","36.0155780176812","etort-80"
"-115.403677750214","35.4049407838478","etort-81"
"-115.383853477001","35.3929567490078","etort-82"
"-115.384550056593","35.398880342107","etort-83"
"-115.381740822898","35.3719489824572","etort-84"
"-115.403315867097","35.3747063656402","etort-85"
"-114.936563392659","36.9577966565672","etort-86"
"-115.640308035639","36.0215709281539","etort-87"
"-115.549280189106","35.1347539267148","etort-88"
"-115.37121439833","35.3923812581704","etort-89"
"-115.359693820582","35.419209069894","etort-90"
"-115.564138769666","35.1061238486852","etort-91"
"-115.6344940479","35.4216468524433","etort-92"
"-115.973963958982","35.9766392074265","etort-93"
"-115.72346006493","35.6158496553875","etort-94"
"-115.364658262482","35.93855438774","etort-95"
"-115.508850434205","34.6854481393271","etort-96"
"-114.623479879236","34.519886112807","etort-97"
"-115.003259817908","34.5440983469421","etort-98"
"-114.838885853941","34.6873804941236","etort-99"
"-114.542313057552","34.3646500618465","etort-100"
"-114.932071986142","34.4516524633541","etort-102"
"-115.442287001755","34.5739702651328","etort-103"
"-114.961343338885","34.64353717081","etort-104"
"-114.784021796599","34.5712297937035","etort-105"
"-115.033315652437","33.3523792592423","etort-106"
"-115.106939406152","33.3043581202141","etort-107"
"-114.844820956202","33.2282180126731","etort-108"
"-115.4118206331","33.5236106974461","etort-109"
"-115.250248866819","33.302788945491","etort-110"
"-115.26195538854","33.4081777346653","etort-111"
"-114.850985990159","35.7687318621651","etort-112"
"-115.084669814959","35.72631027142","etort-113"
"-115.081202777927","34.9284852874645","etort-115"
"-114.941130912806","34.9344318684729","etort-116"
"-114.789412348502","35.0370528567436","etort-117"
"-117.665030529023","34.8434040617767","etort-119"
"-117.404935721572","35.1313819339996","etort-120"
"-115.451987780768","33.8601966919545","etort-121"
"-115.416795934081","33.8611744132137","etort-122"
"-115.42027539284","33.8770813821836","etort-123"
"-115.407912586108","33.8313552860301","etort-124"
"-115.418514933986","33.8998286762844","etort-125"
"-115.449039711764","33.747489493723","etort-126"
"-115.441722392729","33.7676697734064","etort-127"
"-115.446461964073","33.7760801827955","etort-128"
"-115.435431393922","33.7383268051477","etort-129"
"-115.464000995845","35.5457093449459","etort-130"
"-115.418288175555","35.6287365418572","etort-131"
"-115.497695781958","35.5619653189288","etort-132"
"-115.427304250183","35.5387360344571","etort-133"
"-115.474156321922","35.5249762115474","etort-134"
"-115.455369081512","35.5091761134807","etort-135"
"-115.446146907501","35.5660089129202","etort-136"
"-115.438190174738","35.5063403681209","etort-137"
"-115.510645466936","35.5591779135933","etort-138"
"-115.486625947925","35.5955720579951","etort-139"
"-115.447605541121","35.5550287686703","etort-140"
