"","WBD2","WBD4","WBD6","WBD8","WBD10","handpicked_WBD8"
"etort-157",3,5,6,14,67,9
"etort-158",3,5,6,14,67,9
"etort-159",3,5,6,14,67,9
"etort-161",3,5,6,14,37,9
"etort-162",3,5,6,14,67,9
"etort-163",3,5,6,14,67,9
"etort-164",3,5,6,14,67,9
"etort-166",3,5,6,14,67,9
"etort-167",3,5,6,14,67,9
"etort-168",3,5,6,14,67,9
"etort-169",3,5,6,14,67,9
"etort-170",3,5,6,14,68,9
"etort-172",3,5,6,14,68,9
"etort-173",3,5,6,14,68,9
"etort-174",3,5,6,14,68,9
"etort-175",3,5,6,14,68,9
"etort-176",3,5,6,14,68,9
"etort-177",3,5,6,14,68,9
"etort-178",3,5,6,14,68,9
"etort-179",3,5,6,14,68,9
"etort-180",3,5,6,14,68,9
"etort-181",3,5,6,14,69,9
"etort-182",3,5,6,14,68,9
"etort-183",3,5,6,14,68,9
"etort-184",3,5,6,14,68,9
"etort-185",3,5,6,14,68,9
"etort-186",3,5,6,14,68,9
"etort-187",3,5,6,14,68,9
"etort-188",3,5,6,14,37,9
"etort-189",3,5,6,14,37,9
"etort-190",3,5,6,14,37,9
"etort-191",3,5,6,14,37,9
"etort-192",3,5,6,14,37,9
"etort-193",3,5,6,14,37,9
"etort-194",2,4,5,15,70,6
"etort-195",1,1,1,7,71,8
"etort-196",3,5,6,14,72,9
"etort-197",3,5,6,14,54,9
"etort-202",2,4,5,17,44,12
"etort-203",3,5,6,14,73,9
"etort-208",1,1,1,8,74,7
"etort-209",1,1,1,8,75,7
"etort-210",2,3,4,5,8,1
"etort-211",1,1,1,8,20,7
"etort-212",1,1,1,8,76,7
"etort-213",1,1,1,7,48,8
"etort-214",1,1,1,8,20,7
"etort-215",1,1,1,7,77,8
"etort-216",1,1,1,8,11,7
"etort-217",1,1,1,7,78,8
"etort-218",1,1,1,8,20,7
"etort-219",1,1,1,7,78,8
"etort-220",1,2,3,3,79,4
"etort-221",1,2,2,10,59,5
"etort-222",1,2,2,10,59,5
"etort-223",1,2,2,10,59,5
"etort-224",1,2,2,10,59,5
"etort-225",2,3,4,6,58,3
"etort-226",1,2,3,3,80,4
"etort-227",1,2,3,3,80,4
"etort-228",1,2,3,3,81,4
"etort-229",1,1,1,13,24,7
"etort-230",1,2,3,3,56,4
"etort-231",2,3,4,4,33,2
"etort-232",3,5,6,14,26,9
"etort-233",3,5,6,14,82,9
"etort-234",3,5,6,14,26,9
"etort-235",2,4,5,17,83,12
"etort-236",2,4,5,17,84,12
"etort-237",2,4,5,15,85,6
"etort-238",2,4,5,15,70,6
"etort-239",2,4,5,15,86,6
"etort-240",2,4,5,15,87,6
"etort-241",2,4,5,15,53,6
"etort-242",2,4,5,19,88,6
"etort-243",2,4,5,12,89,6
"etort-244",1,2,3,3,81,4
"etort-245",1,2,3,3,43,4
"etort-247",1,2,3,3,28,4
"etort-248",2,3,4,4,33,2
"etort-249",2,3,4,5,8,1
"etort-250",3,5,6,14,26,9
"etort-251",2,4,5,17,44,12
"etort-252",3,5,6,14,73,9
"etort-253",2,3,4,4,33,2
"etort-254",1,2,3,3,79,4
"etort-255",1,1,1,7,77,8
"etort-256",2,3,4,4,33,2
"etort-257",1,1,1,13,64,8
"etort-258",3,5,6,14,42,9
"etort-259",1,2,3,3,36,4
"etort-260",1,2,3,3,36,4
"etort-261",2,3,4,6,9,2
"etort-262",2,3,4,6,57,3
"etort-263",1,2,2,10,59,5
"etort-264",1,2,2,10,59,5
"etort-265",2,3,4,5,8,1
"etort-266",3,5,6,14,42,9
"etort-267",2,3,4,5,34,1
"etort-268",3,5,6,14,26,9
"etort-269",3,5,6,14,52,9
"etort-270",2,3,4,5,8,1
"etort-271",3,5,6,14,26,9
"etort-272",3,5,6,14,61,9
