"etort","weight"
"etort-1",1
"etort-2",1
"etort-3",0.25
"etort-4",0.25
"etort-5",0.25
"etort-6",0.111111111111111
"etort-7",0.111111111111111
"etort-8",0.05
"etort-9",0.125
"etort-10",0.25
"etort-11",0.125
"etort-12",0.0909090909090909
"etort-13",0.166666666666667
"etort-14",0.25
"etort-15",0.5
"etort-16",1
"etort-17",0.333333333333333
"etort-18",0.142857142857143
"etort-19",0.166666666666667
"etort-20",0.166666666666667
"etort-21",0.142857142857143
"etort-22",0.2
"etort-23",0.25
"etort-24",0.333333333333333
"etort-25",0.166666666666667
"etort-26",0.25
"etort-27",0.2
"etort-28",0.333333333333333
"etort-30",0.0714285714285714
"etort-31",0.2
"etort-32",0.0769230769230769
"etort-33",0.142857142857143
"etort-34",0.0769230769230769
"etort-35",0.0526315789473684
"etort-36",0.5
"etort-37",1
"etort-38",0.25
"etort-39",0.0769230769230769
"etort-40",0.0769230769230769
"etort-41",0.125
"etort-42",0.111111111111111
"etort-43",0.142857142857143
"etort-44",0.142857142857143
"etort-45",0.111111111111111
"etort-46",0.0416666666666667
"etort-47",0.037037037037037
"etort-48",0.0285714285714286
"etort-49",0.111111111111111
"etort-50",0.0909090909090909
"etort-51",0.0909090909090909
"etort-52",0.1
"etort-53",0.5
"etort-54",0.0909090909090909
"etort-55",0.025
"etort-56 (sheared2)",0.0833333333333333
"etort-57",0.0666666666666667
"etort-58",1
"etort-59",0.0769230769230769
"etort-60 (sheared2)",0.166666666666667
"etort-61",0.166666666666667
"etort-62",0.333333333333333
"etort-63",0.166666666666667
"etort-64",0.2
"etort-65",0.25
"etort-66",0.25
"etort-67",0.25
"etort-68",0.2
"etort-69",0.333333333333333
"etort-70",0.111111111111111
"etort-71",0.0526315789473684
"etort-72",0.111111111111111
"etort-73",0.142857142857143
"etort-74",0.333333333333333
"etort-75",0.111111111111111
"etort-76",0.111111111111111
"etort-77",0.333333333333333
"etort-78",0.5
"etort-79",0.2
"etort-80",0.166666666666667
"etort-81",0.0151515151515152
"etort-82",0.0161290322580645
"etort-83",0.0153846153846154
"etort-84",0.0204081632653061
"etort-85",0.0188679245283019
"etort-86",0.166666666666667
"etort-87",0.2
"etort-88",0.0714285714285714
"etort-89",0.0161290322580645
"etort-90",0.0136986301369863
"etort-91",0.0909090909090909
"etort-92",0.024390243902439
"etort-93",0.2
"etort-94",0.0476190476190476
"etort-95",0.166666666666667
"etort-96",0.166666666666667
"etort-97",0.0833333333333333
"etort-98",0.142857142857143
"etort-99",0.0909090909090909
"etort-100",0.0833333333333333
"etort-102",0.125
"etort-103",0.333333333333333
