"etort","weight"
"etort-253",0.0769230769230769
"etort-254",0.142857142857143
"etort-255",0.2
"etort-256",0.0714285714285714
"etort-257",0.333333333333333
"etort-258",0.0714285714285714
"etort-259",0.125
"etort-260",0.125
"etort-261",0.125
"etort-262",0.111111111111111
"etort-263",0.0909090909090909
"etort-264",0.0833333333333333
"etort-265",0.0833333333333333
"etort-266",0.125
"etort-267",0.111111111111111
"etort-268",0.0769230769230769
"etort-269",0.166666666666667
"etort-270",0.1
"etort-271",0.0714285714285714
"etort-272",0.0666666666666667
"etort-273",0.0769230769230769
"etort-274",0.111111111111111
"etort-275",0.0833333333333333
"etort-276",0.142857142857143
"etort-277",0.0909090909090909
"etort-278",0.0714285714285714
"etort-282",0.25
"etort-283",0.2
"etort-284",0.111111111111111
"etort-285",0.333333333333333
"etort-286",0.0714285714285714
"etort-287",0.0666666666666667
"etort-288",0.2
"etort-289",0.166666666666667
"etort-296",0.00680303591262495
"etort-297",0.00667141078099982
