"etort","PC 1","PC 2","PC 3","PC 4","PC 5","PC 6","PC 7","PC 8","PC 9","PC 10"
"etort-1",0.00565625020527198,-0.00949380953893403,-0.0396111323682227,-0.00247366495670493,-0.00173937006597501,0.0191470981310129,-0.005278516414637,-0.00260167934456376,-0.00922890637803145,0.00161240146124093
"etort-2",-0.0411627769203599,0.0208209762742493,-0.0159702444838443,-0.00541419675011222,-0.00686403213428545,-0.0213643925553317,-0.000245452596975552,-0.002266373061047,0.00162230807778874,-0.0109176855575978
"etort-3",-0.045521806591991,-0.00333145459949388,-0.0298072930814068,-0.000794663614418982,-0.00437495160751468,-0.00358336968919488,-0.000291162542701985,0.00220331577257436,0.000578777984454333,-0.0028537899479455
"etort-4",-0.0526731142367979,0.00603294508099195,-0.0346652781439698,-0.00311115680830056,-0.00494623391636759,-0.0145216211117353,-8.93764046586351e-05,0.00186451215457014,-0.000199609035359413,-0.000258707786869424
"etort-5",-0.0400863895353449,-0.020751518372844,0.0256749880103445,-0.0120477259927253,0.00682251086199983,0.00525420542028589,-0.00337460421190198,-0.000888762703656364,-0.00274687908003772,-0.00178610184512197
"etort-6",-0.0509217563348716,-0.0624237504356195,0.199742703252648,-0.0726035875908075,0.0556945836167087,0.0332509293903065,0.000698324774201203,0.0311136637121059,0.0040303288074364,0.0301026476653827
"etort-7",-0.00235038012836689,-0.0185011403653794,0.046141437469825,-0.0211152749821164,0.00881793172446294,0.00812499059839875,-0.00274602624153254,-0.00169111982972525,-0.00623656697306043,0.0035067123175745
"etort-8",-0.0150805625241936,-0.0193947550005604,0.0405154293452236,-0.0141897567976548,0.00772842170436001,0.0060526779121462,-0.00271671166632825,-0.00185851286686685,-0.00331987012940066,0.00120829007884393
"etort-9",-0.0384046952005999,-0.0213019063930681,0.0434213559920949,-0.0163956771462347,0.00874598863829514,0.00329811008607594,-0.00435377389744229,-0.00308259965968836,-0.00486868705283922,-0.00199212082138904
"etort-10",-0.0413092832035432,-0.026102748857897,-0.0555634287186719,0.012662570191093,-0.00796513217022968,0.0305211625020931,-0.00107457878526239,-0.00202399290587804,-0.0163212422067008,0.00373073077990107
"etort-11",-0.0466218210369376,-0.0351241043742741,-0.0663781176897583,0.0188630728355251,-0.00651904418111715,0.0403419922232243,-0.000974230580119398,-0.00283602233429457,-0.0241912868796089,0.00961027487736697
"etort-12",0.0157261636199076,-0.0122882088299273,0.00780334203077005,0.00224786178858571,9.40523796230941e-05,0.00229228605859153,-0.00379723854749377,-0.00601262150561764,-0.00267402661939109,-0.000649752980017057
"etort-13",-0.0416890039087042,0.0125085304142686,-0.0212050016458433,-0.00493462247964938,-0.00719281000018761,-0.0176294000184212,-0.000370929204705467,-0.00152780863251851,0.00132810941941952,-0.00693147743562716
"etort-14",-0.0498404947096699,0.0372205199600154,-0.0213969279910741,-0.0104794791890124,-0.00946213888692209,-0.0441922461973693,0.000641446500657349,-0.00445287998727407,0.00135650284342481,-0.0205417226442591
"etort-15",0.0669838299940661,0.0168551589906096,-0.0144909052581443,-0.0301975766317372,0.00886783284766712,0.00420270097748973,-0.0049661972935225,-0.00143034071521546,0.00063438567132662,0.00216959306913642
"etort-16",-0.100594686243177,-0.0781509880494933,-0.0236689535049718,0.00622477974283478,0.0712765014377689,0.222663815781733,0.0955059072494541,0.351103287143865,0.872737036736785,-0.0681145424034942
