"etort","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"etort-1",0.0729736685135915,-0.184914610970771,-0.373796893052668,0.505182757065896,0.732468911806251,0.000358373902505588,-0.0668643430005494,0.0776781861276579,0.116857015189432,0.0530498962297031
"etort-2",-0.317785297461501,-0.899794329057127,0.188839576359085,-0.149867797778396,-0.00505938144210361,0.041532104586869,-0.140835957831383,-0.00202490859915161,-0.00208287062307472,-4.46965305657132e-05
"etort-3",-0.0535555672408355,-0.0100012478733814,-0.00940214813266688,0.00593879000455838,0.00546977085544384,-0.00185920020381935,0.064334214436379,-0.0111384913017922,-0.0342560235556882,-0.0147150129364553
"etort-4",-0.0519304328753167,-0.00938573188657893,-0.00386346419511108,0.00590702195868387,0.000479574120333726,-0.00356614075052807,0.0647317012692838,-0.0117212252386516,-0.0272275698572409,-0.00700878237662
"etort-5",-0.0450068772837417,0.00604723057498052,-0.00407247207805825,0.00374813720707334,-0.00416602898880441,-0.00397955428082986,0.0433977024784535,-0.0007106770049084,0.0322925446003925,0.0163831800420223
"etort-6",-0.0120287989049354,0.00509910183380191,-0.000741982726978591,-0.000660630692903452,-0.00384063573895832,-0.00091631006143938,0.00754207200026469,0.00606955925444408,0.0215637460779407,0.00885712239208446
"etort-7",-0.0007759571360699,0.00332977662439216,0.00208054932368468,-0.00178964867346842,-0.00162929976529519,0.000723978297222888,-0.00169783302410209,0.00573582388980947,0.0148332915765674,0.00326257900437968
"etort-8",-0.00341808387837756,0.00173226213659283,-0.000392120364785975,0.000458746076600292,-0.000650074151792274,-0.000219376508620059,0.00140691681847552,0.00135229234130915,0.00740629362317034,0.00358596078036458
"etort-9",-0.0229199807114261,0.00460032441942518,-0.000312545778245077,0.00234886578111715,-0.00319600338575782,-0.00130844195730442,0.0203158531442435,0.00424488784490659,0.0249699624966106,0.0102167023333154
"etort-10",-0.050925477895527,-0.00182733273848816,-0.0208543787166385,0.0290056724907328,0.0307187052890783,-0.00454908541835913,0.0880647846693121,-0.0426157501858103,-0.146695905740045,-0.0365133951198133
"etort-11",-0.0230547807876473,0.00164982311727281,-0.00755278703115132,0.012532546021717,0.0105713903814909,-0.00226744883728892,0.0389878729080997,-0.0200914268937399,-0.058881554174933,-0.0131786562206223
"etort-12",0.00571891603849957,0.00127552006327344,0.000283424135387094,0.000626146403087556,-0.000894705568401099,0.000530844005973807,-0.00673931657430282,-0.00123321058568848,0.00471271478042207,0.00310770230795943
"etort-13",-0.0348854982979907,-0.00801274829616515,-0.00126035549937976,0.00370513810525251,0.00194687524352214,-0.00163433537881486,0.0389429493331618,-0.000580382036297858,-0.00730644042312008,-0.00573510145282091
"etort-14",-0.049442223007143,-0.0144599376648295,0.00537960144729525,0.00680499861804522,0.000993176849750592,-0.00198117489388711,0.0537273080087187,-3.0134670030435e-06,0.00537833524119652,0.00488799265394779
"etort-15",0.1405255781806,-0.0124591570451437,0.00823596188854969,-0.0433007799586998,0.00901750449328982,0.00159715282638996,-0.245235759524535,0.18880727355757,-0.232855001368865,0.038824289314789
"etort-16",-0.28306507219852,0.041833796725367,-0.802075897302465,-0.494542749440351,-0.0460667078740845,0.0473187493067904,-0.1514101916191,0.0141241352333668,0.0147927475043631,0.00367977188551544
"etort-17",0.102136860856096,-0.0149409122758572,0.00432236364199513,-0.0389781018186807,0.0104390750745864,-0.018494458234762,-0.127771663215706,0.103518561026168,-0.0740776110811713,0.0166416129292832
"etort-18",-0.0301283227714524,-0.00319343139031823,-0.00668453988708739,0.00765884488775277,0.00718213412969588,-0.00129661846924877,0.0407825982863216,-0.0148287387153726,-0.0426622007135965,-0.00879512123599951
"etort-19",-0.0349383444985587,-0.00713908162842073,-0.00255981874408275,0.00398988249011282,0.00137640269031212,-0.00066493087056105,0.0386063449907269,-0.00563610473122058,-0.0133833057255742,-0.00213440757135053
"etort-20",-0.0340041657479057,-0.00860375871826016,-0.00250437048255754,0.00333410011672718,0.00180103566160373,-0.00212996769159139,0.0391200855788524,-0.00655341777071278,-0.0211249960370532,-0.00536695086105218
"etort-21",-0.0295374005894911,-0.00137823887730321,-0.0101057692719018,0.0146797238531024,0.0151907253134331,-0.00253109573735282,0.0484216333362321,-0.0219102600507236,-0.0784533917335945,-0.0194590593541434
"etort-22",-0.0403908924959468,-0.000146864558011054,-0.013674098280555,0.0190841044611143,0.0178617277810596,-0.00168293792884433,0.0672187149303226,-0.0309417674787814,-0.103402342237053,-0.0289858003735287
"etort-23",-0.0394810425469249,0.00495881415265073,-0.0137274501723502,0.0213958441292027,0.0161427068794832,-0.00385804984675858,0.069787904809471,-0.0417190021608934,-0.109145632402601,-0.0167020360605733
"etort-24",-0.0599691914901667,0.00346768913764806,-0.0196309770932858,0.0290703225306272,0.0226254630075714,-0.00629876397188293,0.11530127704515,-0.0753510598048836,-0.226580000570845,-0.055338502138742
"etort-25",-0.0283688316811742,0.000672963884390943,-0.0100732682914743,0.0129047675527438,0.0118815833578729,-0.00220660544683163,0.0464119638571753,-0.0257766324926193,-0.0736525512570293,-0.0152119909588695
"etort-26",-0.0459585186595075,0.00839871895326674,-0.00350280589190276,0.00350093709239253,-0.00665800515855346,-0.00392696371972671,0.0449926484071595,0.00912199712710197,0.0585954583857957,0.0201491389119296
"etort-27",-0.038178823711865,-0.00176477148612454,-0.0133239639004517,0.0192351470111226,0.0197929986145658,-0.00371335177247017,0.0677088309570652,-0.0331872529308533,-0.111938088116706,-0.0274266907013059
"etort-28",-0.0658643767457923,0.00414319260680951,-0.0281814498890732,0.0367101774387468,0.0364422703770911,-0.0101012186902642,0.128971177692587,-0.0782850471408689,-0.252694571687787,-0.0621731985016784
"etort-30",0.00406494210392303,0.00272158695889983,0.00247791805225552,-0.000942057336548864,-0.00167836477172665,-4.16152671007136e-05,-0.00625644688760631,0.00361277950173714,0.0084430006914271,0.00352696564224886
