"etort","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"etort-1",0.00833945894583976,0.0697318198959026,-0.0459484247309022,-0.0503908025873277,0.022743443324427,0.132351901979088,-0.0378321330331371,-0.0249546011594197,0.104083440881199,-0.0290062767544238
"etort-2",-0.0669660136134545,0.0477692165351127,0.073934832932503,0.0391056398460464,0.0758041934827926,0.000562223007136264,0.0152171359318092,-0.0561134669475346,-0.00232784042671144,-0.0826993306830544
"etort-3",-0.0673745166919062,0.0535441709763445,-0.00266391445230421,0.00124308221076391,0.138358407895933,-0.0984387036314085,-0.05205095837082,-0.0477405114650876,-0.00473221708409781,-0.0421236154572146
"etort-4",-0.0670268868361166,0.0541221659582177,0.0191336995583184,0.0106356047247685,0.191762601938861,-0.0881715980133264,-0.0522875430279879,-0.0633702619307591,-0.00827911302850887,-0.036126746630904
"etort-5",-0.0564021493810795,-0.0645176511080474,-0.020635742449185,-0.0300749758799959,0.0962433584080277,0.0206260551631866,0.0194398547404764,-0.0189258053328337,-0.00438953547741026,-0.0250192122415734
"etort-6",-0.0332544886451396,-0.101980573066443,-0.0129101416114391,-0.0337143906216064,0.0551043708574528,0.0304939801260906,0.0264256273128547,-0.0764557140762127,-0.0412512312400747,-0.0923722109859353
"etort-7",-0.00127280488109463,-0.0685043336014761,-0.00984137986823186,-0.0320477502439049,0.00784551950083572,0.0344182230964684,-0.0121427515885251,-0.168076679705452,-0.104326533644219,-0.0603919631008952
"etort-8",-0.0211053119096839,-0.089849716600476,-0.0157910426420944,-0.0346853132910336,0.0360109882977269,0.0504983886403209,0.0151970443139565,-0.134750302748809,-0.0363894579783883,-0.0752436276075946
"etort-9",-0.059639673493239,-0.110747593503677,-0.0128818105877799,-0.0395336653302155,0.0686012010509718,0.0295082869592321,0.0407921991855713,0.0146306860478294,0.036693097962471,-0.0202179306943007
"etort-10",-0.0647452807024243,0.105632189223191,-0.113258918572262,-0.0367129906537325,-0.0196926314021679,0.082052697078451,0.0649051051187477,-0.0395648551688111,0.036202650374385,-0.0134760319911012
"etort-11",-0.0593874063968879,0.0904997963862774,-0.116399094673762,-0.0363728385091879,-0.0143119836786126,0.11773657673808,0.0695739561016053,-0.0501107867240156,-0.00955974055624566,0.00820559700857303
"etort-12",0.0219649705214527,-0.0205724256373582,-0.0217790268794737,-0.00363373485362243,0.0252069107857494,0.0656586529070405,-0.0344096816255145,-0.0334369688545057,-0.0859466778566576,-0.0456231307253099
"etort-13",-0.0673120723266864,0.0524756101905064,0.048662661164455,0.028275137203346,0.130365018845489,-0.0565551524902366,-0.0189074564937276,-0.0612551628204689,0.00665323588056574,-0.0686397245055401
"etort-14",-0.0658424370290139,0.0520721351969802,0.0996506193595536,0.0497217859002264,0.0676966261798805,0.0338778446745291,0.0265525673528673,-0.0463034440467681,-0.00330786289618376,-0.0494614838543138
"etort-15",0.0785616179558315,0.0218215410230264,0.0328078802801176,-0.058156981014455,0.0132664839313346,0.0192091095306518,-0.0254883587450369,-0.0659752674162353,0.0353407164187653,-0.0210787134176979
"etort-16",-0.0585111420810509,-0.00255959416386882,-0.0364313640683965,-0.0159998242939385,0.106504783153195,-0.025412294244051,-0.0165889108900459,-0.00951258759447181,-0.0428187614768262,-0.0318078936164818
"etort-17",0.086068389161528,0.0520101764175559,0.0804405877674559,-0.177280500294084,0.0734910064351173,-0.0260103103548485,0.143885365968088,0.0267565027628467,-0.0786025638538824,-0.0800095028933146
"etort-18",-0.0671910258605846,0.0815315732020074,-0.0687416182076399,-0.0226434521467766,0.0478831499170384,-0.0743261758262441,-0.0250054639290431,-0.0141714708708656,0.00489193882240389,-0.0547452206536313
"etort-19",-0.0672981334484329,0.0496977876420961,0.0211117546782044,0.0131857466791589,0.157468032153278,-0.0847886271800373,-0.0340618863925534,-0.0600126132363631,0.00586478240913918,-0.0517697244897644
