"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"etort-1",0.00662595480845764,0.0947874375237771,-0.0940040324272206,-0.150190452699657,-0.060567868318995,-0.0201451573403125,0.0449580062012539,-0.00321603551483826
"etort-2",-0.0884935242233027,0.0911479240523267,0.129710617333918,0.0297708671171868,0.0175764941036271,0.00338214979337525,0.0186931085220247,0.0552094873781308
"etort-3",-0.091278398829732,0.0978279080910776,-0.0410339713698529,0.0053583087603099,0.174279429724467,-0.00950431937857114,-0.0225939441227622,0.0870844503464366
"etort-4",-0.0943522390466779,0.078786802892536,0.00681195606100668,0.00671398400643327,0.2523375571997,-0.0705897287453121,0.0135646299308871,0.00832075980826377
"etort-5",-0.0790529647624157,-0.0838035209463773,-0.0481173842049067,-0.0133795570369497,0.0998314064926235,-0.0266719416885232,0.0156339016577338,0.0463313830965407
"etort-6",-0.0570279878758553,-0.12549401544429,-0.0255271098834169,-0.0278284502545607,-0.00992227834382022,0.00177589634365648,0.00575625341897426,0.0273446986755928
"etort-7",-0.0103650698608355,-0.103160890510885,0.00303270842089454,-0.0812481647559976,-0.0109374472784054,0.0509498841175764,-0.051531505774764,0.0857429327458097
"etort-8",-0.0368011379816596,-0.11880128285216,-0.0126237702444276,-0.0475082868054345,-0.0439169262723626,0.0949426437826262,-0.0685892522390381,0.164341929781281
"etort-9",-0.0822795689013515,-0.152525378293406,-0.0198079653644231,-0.00477079007532735,-0.0104536626621374,-0.0530324486996441,0.0606505478902679,-0.0414454561277407
"etort-10",-0.0840839113680101,0.129912658990258,-0.187837352560717,-0.026773182083827,-0.0850694952467419,0.0990878290391064,0.0139442005324867,-0.0495103155998867
"etort-11",-0.0748830407292959,0.124495603518383,-0.20979010032463,-0.0240596208825323,-0.118459406087701,0.0843780981715118,-0.00447413348704437,-0.048559307229983
"etort-12",0.0276106247721265,-0.0105520993431654,-0.0435006514050005,-0.083465039155767,-0.0672551699175635,-0.0784573424127641,-0.051347203667929,0.046040412496807
"etort-13",-0.0916227907385363,0.0785641666159911,0.0886124125570715,0.015699073841626,0.190039008043258,-0.0316316930247487,-0.027609793541332,-0.0617960112828186
"etort-14",-0.0916142644721384,0.0947741010541319,0.148203263358417,0.0253829776914471,0.0175080496134256,-0.0230161863612482,-0.0749786466279854,0.0122277516909465
"etort-15",0.0856330861080613,0.0209834172013806,0.045311059649913,-0.186015769679958,0.0133205906540849,0.0314407608739635,-0.0248437646688341,0.0148887060533468
"etort-16",-0.0767378087653016,-0.007599005154589,-0.0559986177564359,-0.0105221650171542,0.033275310512398,-0.0366204923567305,0.0327401920596881,0.0339299072408368
"etort-17",0.0932864861854769,0.0430271493999582,0.0605142490057972,-0.295519182219134,0.0554942840922887,0.0771413598972853,0.0206665973975998,-0.0539157923470705
"etort-18",-0.0899714192046379,0.0908395882535125,-0.128187889324012,-0.0133589495927204,0.090042197160255,0.0529480205224515,0.0203323798169665,0.0250323646622351
"etort-19",-0.0953783520513414,0.0861835404816737,0.0262277735669557,0.0139890762536206,0.199711854639674,-0.00474569920497092,-0.0378280195242741,0.0423254534784468
"etort-20",-0.0979865136464188,0.0966865028046199,0.050405443065621,0.0149415691749166,0.179935309055144,-0.0454272588725982,0.0520716585931614,-0.0155245886159697
"etort-21",-0.0833247341194571,0.119238870829097,-0.176970159289686,-0.0207215604979697,-0.0542852306277874,0.121607281377612,-0.037367912926456,-0.0328290218170092
"etort-22",-0.0819084549591075,0.116697125594118,-0.190039708619873,-0.0209367183097977,-0.1006019924144,0.0980913685716681,-0.000983129474747935,0.0368288534459125
"etort-23",-0.0699190084655031,0.0945568925223086,-0.174232299272224,-0.00542138509295183,-0.12681201566528,0.0519754328729849,-0.00848459563988127,0.0275166115504091
"etort-24",-0.0705820066317014,0.103894099820509,-0.194028950415449,0.00614269976718062,-0.11219205730787,-0.0162318211913333,0.0486490050327962,-0.023163829040725
"etort-25",-0.0765840782641957,0.107830494136158,-0.179238156753594,-0.0169635820303146,-0.104070816792928,0.0221580378453677,0.0285256288278648,-0.00580015347175848
"etort-26",-0.0797463115593228,-0.142995951666693,-0.00395532979083389,-0.0246478276767564,0.0405894808039044,-0.00769663160096975,0.0348452153079338,-0.0514678247826349
"etort-27",-0.0817441223328829,0.129097255193471,-0.176759410005135,-0.0160786558433403,-0.0573102801724756,0.0964049687214625,0.00783208722541998,-0.0406391620181885
"etort-28",-0.0806238294213767,0.1061737221045,-0.185682805924009,-0.0258976371924529,-0.106801791298985,0.0855446202857369,-0.0205926618909998,-0.0109984298774605
"etort-30",0.0202485022291773,-0.0748095932700225,-0.00574289148661452,-0.0747214874825775,0.0461025252735233,0.129506454723694,-0.0562886613404271,0.152616291410438
"etort-31",0.0989788211342685,0.0385661370297682,0.0500087819724272,-0.265941351656987,0.0461802360550163,0.0452811101164482,0.00955073270365622,-0.0195305297424526
"etort-32",-0.0416492570539619,-0.123198175926599,-0.0151073126870422,-0.0497075882962537,0.00370715585919248,0.072689711810838,-0.065145165851959,0.121924496386542
"etort-33",-0.0767059932343812,-0.157264398643179,-0.022775796357904,-0.0085142125377536,-0.0389248699143487,0.00834287297809836,0.0285983985100265,0.00762121290434503
"etort-34",-0.08145892537112,-0.160739982059447,-0.00964754572873052,-0.00499734161382377,0.0382521648332699,-0.0171425035259252,0.0202669064248147,-0.0645340420172633
"etort-35",-0.0236075434564718,-0.100969203960337,-0.0146633602636678,-0.0978373604471901,-0.00779103918505914,0.0830065972913227,0.0256023466144469,0.171843996147977
"etort-36",0.0712306930279349,0.0380837394181685,-0.000580893981214529,-0.168405601804958,-0.0253040661691033,-0.125571392099099,0.01377566080336,0.0214337617328797
