EM_Tort_ID,UTM_Zone,Easting,Northing,Berkeley Sample #
etort-148,NAD83--11N,658681,3929629,HSEM016c
etort-149,NAD83--11N,653219,3933532,HSEM016d
etort-150,NAD83--11N,637504,3938874,HSEM016e
etort-151,NAD83--11N,656914,3927257,HSEM016f
etort-152,NAD83--11N,653389,3931564,HSEM016g
etort-153,NAD83--11N,651187,3932250,HSEM016h
etort-154,NAD83--11N,654410,3930112,HSEM016i
etort-155,NAD83--11N,651985,3933098,HSEM016j
etort-156,NAD83--11N,656712,3930752,HSEM017a
etort-157,NAD83--11N,640123,3939571,HSEM017b
etort-158,NAD83--11N,636323,3938418,HSEM017c
etort-159,NAD83--11N,643401,3928722,HSEM017d
etort-161,NAD83--11N,644212,3926658,HSEM017e
etort-162,NAD83--11N,641669,3927554,HSEM017f
etort-163,NAD83--11N,639034,3937403,HSEM017g
etort-164,NAD83--11N,638270,3936376,HSEM017h
etort-166,WGS84--11N,640138,3938058,HSEM017i
etort-167,WGS84--11N,642269,3938241,HSEM017j
etort-168,WGS84--11N,639406,3940594,HSEM018a
etort-169,WGS84--11N,641797,3942765,HSEM018b
etort-170,WGS84--11N,653444,3944123,HSEM018c
etort-172,WGS84--11N,653820,3940834,HSEM018d
etort-173,WGS84--11N,653705,3943061,HSEM018e
etort-174,WGS84--11N,651499,3944699,HSEM018f
etort-175,WGS84--11N,650947,3944177,HSEM018g
etort-176,WGS84--11N,650056,3944567,HSEM018h
etort-177,WGS84--11N,649874,3942720,HSEM018i
etort-178,WGS84--11N,649959,3943622,HSEM018j
etort-179,WGS84--11N,650686,3941312,HSEM019a
etort-180,WGS84--11N,649190,3945353,HSEM019c
etort-181,WGS84--11N,649923,3946492,HSEM019d
etort-182,WGS84--11N,648163,3941322,HSEM019e
etort-183,WGS84--11N,648189,3940376,HSEM019f
etort-184,WGS84--11N,649968,3941699,HSEM019g
etort-185,WGS84--11N,649966,3940401,HSEM019h
etort-186,WGS84--11N,651304,3948405,HSEM019i
etort-187,WGS84--11N,652266,3940286,HSEM019j
etort-188,11N,653817,3926775,HSEM021A
etort-189,11N,653315,3926891,HSEM021B
etort-190,11N,654042,3928428,HSEM021C
etort-191,11N,656188,3928992,HSEM021D
etort-192,11N,655031,3928613,HSEM021E
etort-193,11N,655735,3928049,HSEM021F
etort-194,11N,719066,4069616,HSEM021G
etort-195,11N,516001,3846094,HSEM021H
etort-196,11N,586910,4028324,HSEM021I
etort-197,11N,606647,3997601,HSEM021J
etort-202,11N,686082,3983462,HSEM022E
etort-203,11N,654929,3963527,HSEM022F
etort-208,11N,491267,3876661,HSEM023A
etort-209,11N,488943,3896486,HSEM023B
etort-210,11N,695575,3904058,HSEM023C
etort-211,11N,463448,3880044,HSEM023D
