EM_Tort_ID,Sample_name (collector tort ID),Date_collected,Sex,UTM_Zone,Easting,Northing,MCL_MM,Initial_Weight,Location_ID,Tissue Box,Shearing cycles,Cleaned,Sheared DNA concentration (post cleanup if applicable),uL to get 450ng,Actual ng going into lib prep,beads to add,Adapter,Lib prepped?,Lib plate well,Final lib concentration (ng/uL),Yield,Final library concentration (nM),Sent to Berk?,Lane Number,Berkeley Sample #
etort-24,FW2241,05/22/05,Female,11N,514027,3901462,237,,Superior-Cronese,2005 box 2,7,No,18.6300375,24.15454075,450,72.46362225,BFIDT-009,6-Jul-14,H3,1.866031557,13.68%,3.51,16-Jul-14,HSEM006,HSEM006d
etort-25,FW2242,05/23/05,Male,11N,526407,3888627,274,,Superior-Cronese,2005 box 2,7,No,18.37,24.49646162,450,73.48938487,BFIDT-012,14-Jul-14,A1,10.36289973,75.99%,,16-Jul-14,HSEM009,HSEM009g
etort-26,FW2246,05/27/05,Male,11N,729071,3783893,266,,Chemehuevi,2005 box 2,7,No,21.81,20.63273728,450,61.89821183,BFIDT-014,14-Jul-14,B1,8.039648667,58.96%,,16-Jul-14,HSEM009,HSEM009h
etort-27,FW2913,05/15/05,Male,11N,441380,3898411,223,,Fremont-Kramer,2005 box 2,7,No,11.9,37.81512605,450,113.4453782,BFIDT-015,14-Jul-14,C1,8.083565287,59.28%,10.46,16-Jul-14,HSEM009,HSEM009i
etort-28,FW2914,05/17/05,Male,11N,434125,3912071,269,,Fremont-Kramer,2005 box 2,7,No,10.71,35.2,376.992,105.6,BFIDT-016,14-Jul-14,D1,8.297581493,72.63%,,16-Jul-14,HSEM009,HSEM009j
etort-30,FW0610,06/01/05,Male,11N,693502,3935288,204,,Piute-Eldorado DWMA,2005 box 3,7,No,13.97440324,32.20173286,450,96.60519859,BFIDT-010,7-Jul-14,A1,8.680394575,63.66%,7.80,16-Jul-14,HSEM006,HSEM006e
etort-31,FW0706,06/13/05,Female,11N,743532,4074271,202,,Upper Mormon Mesa,2005 box 3,7,No,16.13941306,27.88205484,450,83.64616451,BFIDT-011,7-Jul-14,B1,5.153884094,37.80%,3.54,16-Jul-14,HSEM006,HSEM006f
etort-32,FW0917,06/08/05,Male,11N,694164,3917463,262,,Piute-Eldorado DWMA,2005 box 3,7,No,19.258875,23.36585081,450,70.09755243,BFIDT-012,7-Jul-14,C1,4.652034525,34.11%,4.86,16-Jul-14,HSEM006,HSEM006g
etort-33,FW1331,06/06/05,Female,11N,688419,3853375,208,,Chemehuevi,2005 box 3,7,No,15.508026,29.01723275,450,87.05169826,BFIDT-014,7-Jul-14,D1,3.972626387,29.13%,3.25,16-Jul-14,HSEM006,HSEM006h
etort-34,FW2251,06/01/05,Unknown,11N,718592,3809357,177,,Chemehuevi,2005 box 3,7,No,15.22749634,29.55180483,450,88.65541449,BFIDT-015,7-Jul-14,E1,2.110727497,15.48%,2.03,16-Jul-14,HSEM006,HSEM006i
etort-35,bh633,05/18/06,Female,11N,680350,3933892,241,,Piute-Eldorado DWMA,2006 Red Blood Cells and RNA Later From Fran and Dick,7,No,23.12072863,19.46305444,450,58.38916333,BFIDT-016,7-Jul-14,F1,6.703205919,49.16%,7.34,16-Jul-14,HSEM006,HSEM006j
etort-36,bh641,05/30/06,Female,11N,574087,3994334,246,,Chicago Valley,2006 Red Blood Cells and RNA Later From Fran and Dick,7,No,19.28014892,23.34006869,450,70.02020606,BFIDT-001,7-Jul-14,G1,4.507151665,33.05%,4.18,16-Jul-14,HSEM007,HSEM007a
etort-37,bh649,06/14/06,Unknown,11N,536076,4065477,141,,Amargosa Valley,2006 Red Blood Cells and RNA Later From Fran and Dick,7,No,14.45499269,31.13111226,450,93.39333677,BFIDT-004,7-Jul-14,H1,6.288902589,46.12%,5.05,16-Jul-14,HSEM007,HSEM007b
etort-38,20119,04/12/11,,11N,682489,4038675,,,Coyote Springs,2011-box2,7,No,19.17710411,23.46548246,450,70.39644737,BFIDT-006,7-Jul-14,A2,3.546609125,26.01%,,16-Jul-14,HSEM007,HSEM007c
etort-39,201117,04/14/11,,11N,726167,3815082,,,Chemehuevi,2011-box2,7,No,21.69871028,20.73855977,450,62.21567931,BFIDT-009,7-Jul-14,B2,3.444266338,25.26%,,16-Jul-14,HSEM007,HSEM007d
etort-40,201126,04/20/11,,11N,709283,3833378,,,Chemehuevi,2011-box2,7,No,15.91142857,28.28155863,450,84.84467588,BFIDT-010,7-Jul-14,C2,5.160665845,37.84%,,16-Jul-14,HSEM007,HSEM007e
etort-41,201127,04/20/11,,11N,697804,3873631,,,Piute,2011-box2,7,No,20.45685414,21.99751716,450,65.99255148,BFIDT-011,7-Jul-14,D2,1.107644883,8.12%,1.04,16-Jul-14,HSEM007,HSEM007f
etort-42,201128,04/20/11,,11N,697707,3890695,,,Piute,2011-box2,7,No,14.92633958,30.14804785,450,90.44414356,BFIDT-012,7-Jul-14,E2,2.061405672,15.12%,2.41,16-Jul-14,HSEM007,HSEM007g
etort-43,201130,04/26/11,,11N,645726,3863590,,,E Providence Clipper Valley,2011-box2,7,No,18.265617,24.63645219,450,73.90935658,BFIDT-014,7-Jul-14,F2,2.750061652,20.17%,,16-Jul-14,HSEM007,HSEM007h
etort-44,201132,04/26/11,,11N,646754,3865686,,,E Providence Clipper Valley,2011-box2,7,No,15.704642,28.6539483,450,85.96184491,BFIDT-015,7-Jul-14,G2,3.851171393,28.24%,,16-Jul-14,HSEM007,HSEM007i
etort-45,201133,04/26/11,,11N,656011,3852580,,,E Providence Clipper Valley,2011-box2,7,No,14.59127776,30.84034226,450,92.52102678,BFIDT-016,7-Jul-14,H2,5.660665845,41.51%,,16-Jul-14,HSEM007,HSEM007j
etort-46,201136,04/29/11,,11N,642221,3906737,,,Ivanpah,2011-box2,7,1.1,21.01870808,21.40949854,450,64.22849562,BFIDT-001,12-Jul-14,A1,7.245599542,53.13%,,16-Jul-14,HSEM008,HSEM008a
etort-47,201137,04/29/11,,11N,644021,3907352,,,Ivanpah,2011-box2,7,1.1,22.40310625,20.08650028,450,60.25950085,BFIDT-004,12-Jul-14,B1,4.834085277,35.45%,,16-Jul-14,HSEM008,HSEM008b
etort-48,201138,04/29/11,,11N,643255,3909590,,,Ivanpah,2011-box2,7,1.1,22.56194846,19.94508589,450,59.83525767,BFIDT-006,12-Jul-14,C1,10.09112283,74.00%,,16-Jul-14,HSEM008,HSEM008c
etort-49,201141,05/02/11,,11N,623128,3882479,,,W Providence Kelso Wash,2011-box2,7,1.1,19.36886693,23.23316081,450,69.69948243,BFIDT-009,12-Jul-14,D1,1.217131601,8.93%,1.83,16-Jul-14,HSEM008,HSEM008d
etort-50,201144,05/02/11,,11N,625344,3880818,,,W Providence Kelso Wash,2011-box2,7,1.1,25.90045888,17.37420955,450,52.12262865,BFIDT-010,12-Jul-14,E1,3.546673445,26.01%,,16-Jul-14,HSEM008,HSEM008e
etort-51,201148,05/03/11,,11N,624508,3878271,,,W Providence Kelso Wash,2011-box2,7,1.1,27.12601483,16.5892411,450,49.7677233,BFIDT-011,12-Jul-14,F1,1.450339963,10.64%,2.10,16-Jul-14,HSEM008,HSEM008f
etort-52,201150,05/04/11,,11N,642430,3863054,,,E Providence Clipper Valley,2011-box2,7,1.1,16.12424991,24.6,396.6565478,73.8,BFIDT-012,12-Jul-14,G1,3.20543941,26.67%,,16-Jul-14,HSEM008,HSEM008g
etort-53,bh627,05/12/06,Female,11N,725522,4016673,143,,Lake Mead NRA,2006 Red Blood Cells and RNA Later From Fran and Dick,7,1.1,17.95340628,24.6,441.6537946,73.8,BFIDT-014,12-Jul-14,H1,1.271144437,9.50%,1.86,16-Jul-14,HSEM008,HSEM008h
etort-54,201151,05/04/11,,11N,646120,3870350,,,E Providence Clipper Valley,2011-box2,7,1.1,16.43346276,25,410.836569,75,BFIDT-015,12-Jul-14,A2,5.2680943,42.32%,,16-Jul-14,HSEM008,HSEM008i
etort-55,201152,05/05/11,,11N,644480,3910312,,,Ivanpah,2011-box2,7,1.1,13.15566537,34.20579555,450,102.6173866,BFIDT-016,12-Jul-14,B2,3.778610917,27.71%,,16-Jul-14,HSEM008,HSEM008j
etort-56 (sheared2),201157,05/09/11,,11N,612619,3937893,,,Shadow Valley,2011-box2,7,1.1,12.72996823,35.34965617,450,106.0489685,BFIDT-001,12-Jul-14,C2,2.076888861,15.23%,3.14,16-Jul-14,HSEM009,HSEM009a
etort-57,201158,05/11/11,,11N,636208,3719913,,,Chuckwalla Bench,2011-box2,7,1.1,16.69043417,25,417.2608542,75,BFIDT-004,12-Jul-14,D2,3.777975472,29.88%,4.22,16-Jul-14,HSEM009,HSEM009b
etort-58,201177,05/26/11,,11N,658980,4135978,,,Paranaghut Valley,2011-box2,7,1.1,17.42181433,24,418.1235439,72,BFIDT-006,12-Jul-14,E2,6.577746712,51.91%,,16-Jul-14,HSEM009,HSEM009c
etort-59,20111,04/04/11,,11N,683537,3961789,,,El Dorado,2011-box2,7,1.1,19.87575009,22.64065497,450,67.92196491,BFIDT-009,12-Jul-14,F2,6.845904556,50.20%,,16-Jul-14,HSEM009,HSEM009d
