"a0","a1","b0","b1"
0.01,0.01,0.478107334578894,0.47822572482808
0.266153846153846,0.01,1.11217778555081,0.0420724390289028
0.522307692307692,0.01,1.17095050228234,0.0226862889179869
0.778461538461539,0.01,1.20380689708978,0.0157008685189739
1.03461538461538,0.01,1.22528451223572,0.0120484009495183
1.29076923076923,0.01,1.24024061546536,0.00978557485955715
1.54692307692308,0.01,1.25117697229934,0.00824060993534595
1.80307692307692,0.01,1.2595034970621,0.00711686909031448
2.05923076923077,0.01,1.26606208073993,0.00626217200302649
2.31538461538462,0.01,1.27138141087137,0.00559008638273296
2.57153846153846,0.01,1.27580752980027,0.00504775470824887
2.82769230769231,0.01,1.27957463999645,0.00460097843180522
3.08384615384615,0.01,1.28284572103873,0.0042266265056092
3.34,0.01,1.28573695152337,0.00390848150809038
3.59615384615385,0.01,1.28833294363264,0.0036348309116184
3.85230769230769,0.01,1.29069652507719,0.00339700218605718
4.10846153846154,0.01,1.29287517208337,0.00318843575448352
4.36461538461538,0.01,1.29490533005866,0.00300407822481243
4.62076923076923,0.01,1.29681537297639,0.00283997359698031
4.87692307692308,0.01,1.29862766835354,0.00269298085718457
5.13307692307692,0.01,1.30036004437768,0.00256057455767646
5.38923076923077,0.01,1.30202685004521,0.00244070122843319
5.64538461538462,0.01,1.30363973382539,0.00233167418868549
5.90153846153846,0.01,1.30520822420242,0.00223209528701677
6.15769230769231,0.01,1.30674016839149,0.00214079584417324
6.41384615384615,0.01,1.30824206830357,0.00205679152873694
6.67,0.01,1.30971934061051,0.00197924746621161
6.92615384615385,0.01,1.31117652012057,0.00190745097702982
7.18230769230769,0.01,1.31261742036582,0.00184079006701836
7.43846153846154,0.01,1.31404526138671,0.00177873629938078
7.69461538461539,0.01,1.31546277227321,0.00172083104457003
7.95076923076923,0.01,1.31687227389386,0.00166667435375538
8.20692307692308,0.01,1.31827574605663,0.00161591589201965
8.46307692307692,0.01,1.31967488249821,0.00156824750025897
8.71923076923077,0.01,1.32107113597832,0.00152339705004558
8.97538461538462,0.01,1.32246575541082,0.00148112334456596
9.23153846153846,0.01,1.32385981681989,0.0014412118586236
9.48769230769231,0.01,1.3252542489455,0.00140347116084153
9.74384615384615,0.01,1.32664985472832,0.00136772989585859
10,0.01,1.3280473293363,0.00133383422904959
0.01,0.266153846153846,0.0402991484668915,1.06703544194488
0.266153846153846,0.266153846153846,0.499504119569443,0.499508516135746
0.522307692307692,0.266153846153846,0.67653168512342,0.344809227448173
0.778461538461539,0.266153846153846,0.781378003449192,0.267228308066608
1.03461538461538,0.266153846153846,0.853294108390597,0.219584444383552
1.29076923076923,0.266153846153846,0.906610964833741,0.187010710138426
1.54692307692308,0.266153846153846,0.94812636385026,0.163191260807546
1.80307692307692,0.266153846153846,0.981581431718427,0.144947962156569
2.05923076923077,0.266153846153846,1.00924319341442,0.13049337498784
2.31538461538462,0.266153846153846,1.032581163397,0.118739273101504
2.57153846153846,0.266153846153846,1.05259659305558,0.108982492316195
2.82769230769231,0.266153846153846,1.06999849625459,0.100747105109012
3.08384615384615,0.266153846153846,1.08530468942532,0.0936987774956747
3.34,0.266153846153846,1.09890308699638,0.0875953654860378
3.59615384615385,0.266153846153846,1.11109056599688,0.0822569635652397
3.85230769230769,0.266153846153846,1.12209851700667,0.0775469814762981
4.10846153846154,0.266153846153846,1.13211016023569,0.0733597655186797
4.36461538461538,0.266153846153846,1.14127258922694,0.0696122566271735
