"etort","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"etort-2",-0.041470495412546,0.0208346867305476,-0.0159710718191657,-0.00509098782577002,-0.00717504905544198,0.0213457646245472,-0.000202372644104103,0.00217053835131307,0.00154596085370504,-0.0109238240611947
"etort-3",-0.0458221735286383,-0.00330807807204434,-0.0298178662040835,-0.000536219204825877,-0.00443014693498707,0.00355264998221269,-0.000258053355458561,-0.00226381125401442,0.000580731354773271,-0.00285220182080643
"etort-4",-0.0529433022959996,0.00605248675526573,-0.0346521566830919,-0.00270166935593093,-0.00521571906570967,0.0145129622045903,-4.48004442567887e-05,-0.00190977977062587,-0.000181242705291365,-0.000252045888345662
"etort-5",-0.0404055340607447,-0.0207335999032746,0.0255016093081971,-0.012530388585063,0.00679261287284639,-0.00521560976424032,-0.00341112962835049,0.000890279161306233,-0.00274339888421386,-0.00181280334643403
"etort-6",-0.0512484564928206,-0.0623681192092767,0.198757815711591,-0.0760408365444818,0.0558283676717151,-0.0330734587138645,0.000564112117365151,-0.0307444935265964,0.00452684975539253,0.0300036643471397
"etort-9",-0.0387244262054051,-0.0212890132084488,0.0432119747995826,-0.0170395165583723,0.00864875482675804,-0.00323812559639891,-0.00440175461394682,0.00306373356263315,-0.00489435985729533,-0.0020056746613653
"etort-10",-0.0416182886459526,-0.0260753629494331,-0.0554987940882866,0.0130561772240129,-0.00754004549676177,-0.0306005343728958,-0.00106301514997843,0.00173901126273165,-0.0163784247084797,0.00373615029899009
"etort-11",-0.0469157015684053,-0.0350945265492809,-0.06628562238982,0.0192481097708024,-0.00588487771153268,-0.0404320998146404,-0.000964961743718244,0.00244039494832804,-0.0242633414071575,0.00961866616873853
"etort-13",-0.0419898990381027,0.0125223848440901,-0.0212048722026038,-0.00456614421749368,-0.00749711038719338,0.01761021474772,-0.000335042655915871,0.00145530251074683,0.0012756457781925,-0.00694039762723394
"etort-14",-0.0501300695221004,0.0372361010099828,-0.0214019823667689,-0.00997420032754248,-0.0100670249383292,0.0441731105604706,0.000715813703313483,0.00425939651862594,0.00121040820048851,-0.0205467747066569
"etort-16",-0.100650931820754,-0.0781514824059772,-0.0238009430582486,0.00502956719483971,0.0719812469924034,-0.222294834796463,0.0949326924078936,-0.334895018234853,0.879265876095402,-0.0683332582767611
"etort-18",-0.0504809087916471,-0.02040677734816,-0.0544960767856695,0.00869360167329536,-0.00619490108401188,-0.0246024033977437,0.00197424127885393,-0.00211523087036347,-0.0128400017058701,0.00566353168698355
"etort-19",-0.0513200382981627,0.00432325133744923,-0.0298335662655161,-0.00410577728634612,-0.00517953593973208,0.0161167007936978,0.00137687507240369,0.000264205816302703,0.000839850004350745,-0.0041435399780799
"etort-20",-0.0532886097802212,0.00825279710577155,-0.0402464220565665,-0.00289520117412522,-0.00797650755946278,0.0175795404050598,0.00231346470522611,-0.000982436040041362,0.00137203266573344,-0.000878825035059136
"etort-21",-0.0487075071337825,-0.0307944338152355,-0.0678646479161278,0.0158328787800538,-0.00710842964162212,-0.0397055134532185,-0.00129394753262171,0.00158030161071426,-0.022081905628507,0.00690374301268798
"etort-22",-0.039923641249621,-0.0232035331811771,-0.0506840520020653,0.010211360014005,-0.00602731249028712,-0.0270523710942314,-0.000830317956709847,0.00132363355425108,-0.0151409242189723,0.00273575740568918
"etort-23",-0.0424885262289372,-0.0348483907975457,-0.057556383215391,0.018001715602434,-0.00452097492569142,-0.0411539797501967,-0.00189745295895849,0.00455546317985098,-0.0217545440323181,0.0061077928419048
