"etort1","etort2","pi"
"etort-16","etort-34",0.174903
"etort-18","etort-34",0.175955
"etort-19","etort-34",0.176628
"etort-20","etort-34",0.177927
"etort-21","etort-34",0.175615
"etort-22","etort-34",0.177171
"etort-23","etort-34",0.17829
"etort-24","etort-34",0.176573
"etort-25","etort-34",0.178861
"etort-26","etort-34",0.168955
"etort-27","etort-34",0.177947
"etort-28","etort-34",0.177716
"etort-33","etort-34",0.170505
"etort-34","etort-34",0.10784
"etort-2","etort-39",0.176862
"etort-3","etort-39",0.177019
"etort-4","etort-39",0.17816
"etort-5","etort-39",0.172121
"etort-6","etort-39",0.17477
"etort-9","etort-39",0.168546
"etort-10","etort-39",0.176739
"etort-11","etort-39",0.177032
"etort-13","etort-39",0.176535
"etort-14","etort-39",0.17878
"etort-16","etort-39",0.176273
"etort-18","etort-39",0.176707
"etort-19","etort-39",0.176385
"etort-20","etort-39",0.178569
"etort-21","etort-39",0.176478
"etort-22","etort-39",0.176414
"etort-23","etort-39",0.177759
"etort-24","etort-39",0.177568
"etort-25","etort-39",0.178564
"etort-26","etort-39",0.168619
"etort-27","etort-39",0.178259
"etort-28","etort-39",0.176936
"etort-33","etort-39",0.170713
"etort-34","etort-39",0.168606
"etort-39","etort-39",0.109734
"etort-2","etort-40",0.177373
"etort-3","etort-40",0.176398
"etort-4","etort-40",0.177311
"etort-5","etort-40",0.170317
"etort-6","etort-40",0.174129
"etort-9","etort-40",0.167932
"etort-10","etort-40",0.176928
"etort-11","etort-40",0.176051
"etort-13","etort-40",0.175891
"etort-14","etort-40",0.178657
"etort-16","etort-40",0.174719
"etort-18","etort-40",0.176632
"etort-19","etort-40",0.176368
"etort-20","etort-40",0.177388
"etort-21","etort-40",0.176378
"etort-22","etort-40",0.17624
"etort-23","etort-40",0.176504
"etort-24","etort-40",0.176811
"etort-25","etort-40",0.178183
"etort-26","etort-40",0.169211
"etort-27","etort-40",0.178135
"etort-28","etort-40",0.176823
"etort-33","etort-40",0.170059
"etort-34","etort-40",0.168976
"etort-39","etort-40",0.166872
"etort-40","etort-40",0.10561
"etort-2","etort-41",0.177907
"etort-3","etort-41",0.178378
"etort-4","etort-41",0.178715
"etort-5","etort-41",0.172925
"etort-6","etort-41",0.173014
"etort-9","etort-41",0.170284
"etort-10","etort-41",0.178083
"etort-11","etort-41",0.176881
"etort-13","etort-41",0.178465
"etort-14","etort-41",0.180521
"etort-16","etort-41",0.176773
"etort-18","etort-41",0.176811
"etort-19","etort-41",0.177314
"etort-20","etort-41",0.178159
"etort-21","etort-41",0.176959
"etort-22","etort-41",0.177715
"etort-23","etort-41",0.17791
"etort-24","etort-41",0.177164
"etort-25","etort-41",0.178972
"etort-26","etort-41",0.171014
"etort-27","etort-41",0.179315
"etort-28","etort-41",0.178335
"etort-33","etort-41",0.170013
"etort-34","etort-41",0.171199
"etort-39","etort-41",0.171152
"etort-40","etort-41",0.170719
"etort-41","etort-41",0.112792
"etort-2","etort-42",0.179841
"etort-3","etort-42",0.179585
"etort-4","etort-42",0.180397
"etort-5","etort-42",0.175061
"etort-6","etort-42",0.174698
"etort-9","etort-42",0.173211
"etort-10","etort-42",0.180025
"etort-11","etort-42",0.179516
"etort-13","etort-42",0.180606
"etort-14","etort-42",0.182304
"etort-16","etort-42",0.177476
"etort-18","etort-42",0.178985
"etort-19","etort-42",0.180148
"etort-20","etort-42",0.180497
"etort-21","etort-42",0.177905
"etort-22","etort-42",0.17863
"etort-23","etort-42",0.180499
"etort-24","etort-42",0.179368
"etort-25","etort-42",0.179508
"etort-26","etort-42",0.173587
"etort-27","etort-42",0.180132
"etort-28","etort-42",0.179829
"etort-33","etort-42",0.173511
"etort-34","etort-42",0.174128
"etort-39","etort-42",0.173893
"etort-40","etort-42",0.17412
"etort-41","etort-42",0.174443
"etort-42","etort-42",0.112961
"etort-2","etort-43",0.177974
"etort-3","etort-43",0.176722
"etort-4","etort-43",0.177998
"etort-5","etort-43",0.171851
"etort-6","etort-43",0.173966
"etort-9","etort-43",0.169574
"etort-10","etort-43",0.177128
"etort-11","etort-43",0.175847
"etort-13","etort-43",0.176263
"etort-14","etort-43",0.17823
"etort-16","etort-43",0.174934
"etort-18","etort-43",0.176224
"etort-19","etort-43",0.176724
"etort-20","etort-43",0.177518
"etort-21","etort-43",0.176376
"etort-22","etort-43",0.176347
"etort-23","etort-43",0.176668
"etort-24","etort-43",0.177077
"etort-25","etort-43",0.177589
"etort-26","etort-43",0.170228
"etort-27","etort-43",0.177617
"etort-28","etort-43",0.177589
"etort-33","etort-43",0.170789
"etort-34","etort-43",0.17078
"etort-39","etort-43",0.170773
"etort-40","etort-43",0.169675
"etort-41","etort-43",0.171411
"etort-42","etort-43",0.173713
"etort-43","etort-43",0.113145
"etort-2","etort-44",0.178323
"etort-3","etort-44",0.177079
"etort-4","etort-44",0.177775
"etort-5","etort-44",0.171497
"etort-6","etort-44",0.174304
"etort-9","etort-44",0.170383
"etort-10","etort-44",0.177533
"etort-11","etort-44",0.177013
"etort-13","etort-44",0.178281
"etort-14","etort-44",0.179341
"etort-16","etort-44",0.174906
"etort-18","etort-44",0.17632
"etort-19","etort-44",0.176747
"etort-20","etort-44",0.178108
"etort-21","etort-44",0.176918
"etort-22","etort-44",0.177182
"etort-23","etort-44",0.177312
"etort-24","etort-44",0.177401
"etort-25","etort-44",0.178629
"etort-26","etort-44",0.171061
"etort-27","etort-44",0.178169
"etort-28","etort-44",0.177908
"etort-33","etort-44",0.17087
"etort-34","etort-44",0.171022
"etort-39","etort-44",0.172082
"etort-40","etort-44",0.171644
"etort-41","etort-44",0.172133
"etort-42","etort-44",0.174276
"etort-43","etort-44",0.17046
"etort-44","etort-44",0.11354
"etort-2","etort-45",0.178086
"etort-3","etort-45",0.17786
"etort-4","etort-45",0.177159
"etort-5","etort-45",0.172203
"etort-6","etort-45",0.174368
"etort-9","etort-45",0.170377
"etort-10","etort-45",0.178031
"etort-11","etort-45",0.176437
"etort-13","etort-45",0.177031
"etort-14","etort-45",0.178651
"etort-16","etort-45",0.175819
"etort-18","etort-45",0.176223
"etort-19","etort-45",0.176806
"etort-20","etort-45",0.178792
"etort-21","etort-45",0.176845
"etort-22","etort-45",0.175731
"etort-23","etort-45",0.177022
"etort-24","etort-45",0.177122
"etort-25","etort-45",0.177857
"etort-26","etort-45",0.170909
"etort-27","etort-45",0.178206
"etort-28","etort-45",0.17813
"etort-33","etort-45",0.170519
"etort-34","etort-45",0.170942
"etort-39","etort-45",0.17117
"etort-40","etort-45",0.170342
"etort-41","etort-45",0.172185
"etort-42","etort-45",0.173922
"etort-43","etort-45",0.170316
"etort-44","etort-45",0.171585
"etort-45","etort-45",0.114536
"etort-2","etort-52",0.177906
"etort-3","etort-52",0.176335
"etort-4","etort-52",0.177194
"etort-5","etort-52",0.17176
"etort-6","etort-52",0.173043
"etort-9","etort-52",0.169589
"etort-10","etort-52",0.176966
"etort-11","etort-52",0.17539
"etort-13","etort-52",0.176383
"etort-14","etort-52",0.178605
"etort-16","etort-52",0.17506
"etort-18","etort-52",0.175094
"etort-19","etort-52",0.177221
"etort-20","etort-52",0.176585
"etort-21","etort-52",0.174555
"etort-22","etort-52",0.175172
"etort-23","etort-52",0.176414
"etort-24","etort-52",0.17639
"etort-25","etort-52",0.176896
"etort-26","etort-52",0.171642
"etort-27","etort-52",0.177983
"etort-28","etort-52",0.176476
"etort-33","etort-52",0.170126
"etort-34","etort-52",0.171347
"etort-39","etort-52",0.171077
"etort-40","etort-52",0.170456
"etort-41","etort-52",0.172034
"etort-42","etort-52",0.173755
"etort-43","etort-52",0.169864
"etort-44","etort-52",0.17081
"etort-45","etort-52",0.170099
"etort-52","etort-52",0.111403
"etort-2","etort-54",0.177068
"etort-3","etort-54",0.17508
"etort-4","etort-54",0.176404
"etort-5","etort-54",0.171568
"etort-6","etort-54",0.173145
"etort-9","etort-54",0.169185
"etort-10","etort-54",0.176004
"etort-11","etort-54",0.175846
"etort-13","etort-54",0.176178
"etort-14","etort-54",0.178605
"etort-16","etort-54",0.174244
"etort-18","etort-54",0.175266
"etort-19","etort-54",0.175912
"etort-20","etort-54",0.176981
"etort-21","etort-54",0.175036
"etort-22","etort-54",0.176186
"etort-23","etort-54",0.176435
"etort-24","etort-54",0.176614
"etort-25","etort-54",0.17629
"etort-26","etort-54",0.169892
"etort-27","etort-54",0.176826
"etort-28","etort-54",0.177448
"etort-33","etort-54",0.170644
"etort-34","etort-54",0.170975
"etort-39","etort-54",0.170541
"etort-40","etort-54",0.169475
"etort-41","etort-54",0.171299
"etort-42","etort-54",0.172535
"etort-43","etort-54",0.169892
"etort-44","etort-54",0.170082
"etort-45","etort-54",0.169601
"etort-52","etort-54",0.170406
"etort-54","etort-54",0.108205
"etort-2","etort-57",0.171529
"etort-3","etort-57",0.175061
"etort-4","etort-57",0.174167
"etort-5","etort-57",0.17838
"etort-6","etort-57",0.180505
"etort-9","etort-57",0.177997
"etort-10","etort-57",0.177889
"etort-11","etort-57",0.178327
"etort-13","etort-57",0.171217
"etort-14","etort-57",0.171154
"etort-16","etort-57",0.178659
"etort-18","etort-57",0.176015
"etort-19","etort-57",0.173497
"etort-20","etort-57",0.173767
"etort-21","etort-57",0.175887
"etort-22","etort-57",0.17656
"etort-23","etort-57",0.179067
"etort-24","etort-57",0.177744
"etort-25","etort-57",0.179234
"etort-26","etort-57",0.178542
"etort-27","etort-57",0.178521
"etort-28","etort-57",0.178502
"etort-33","etort-57",0.179089
"etort-34","etort-57",0.178177
"etort-39","etort-57",0.17877
"etort-40","etort-57",0.178302
"etort-41","etort-57",0.180106
"etort-42","etort-57",0.181291
"etort-43","etort-57",0.178791
"etort-44","etort-57",0.179542
"etort-45","etort-57",0.179496
"etort-52","etort-57",0.178326
"etort-54","etort-57",0.177985
"etort-57","etort-57",0.1245
"etort-2","etort-60 (sheared2)",0.172601
"etort-3","etort-60 (sheared2)",0.169356
"etort-4","etort-60 (sheared2)",0.171041
"etort-5","etort-60 (sheared2)",0.173669
"etort-6","etort-60 (sheared2)",0.178487
"etort-9","etort-60 (sheared2)",0.173866
"etort-10","etort-60 (sheared2)",0.167681
"etort-11","etort-60 (sheared2)",0.168693
"etort-13","etort-60 (sheared2)",0.170351
"etort-14","etort-60 (sheared2)",0.174332
"etort-16","etort-60 (sheared2)",0.17066
"etort-18","etort-60 (sheared2)",0.16521
"etort-19","etort-60 (sheared2)",0.169625
"etort-20","etort-60 (sheared2)",0.169565
"etort-21","etort-60 (sheared2)",0.1667
"etort-22","etort-60 (sheared2)",0.16693
"etort-23","etort-60 (sheared2)",0.171556
"etort-24","etort-60 (sheared2)",0.169406
"etort-25","etort-60 (sheared2)",0.170044
"etort-26","etort-60 (sheared2)",0.174801
"etort-27","etort-60 (sheared2)",0.17013
"etort-28","etort-60 (sheared2)",0.169755
"etort-33","etort-60 (sheared2)",0.175849
"etort-34","etort-60 (sheared2)",0.17606
"etort-39","etort-60 (sheared2)",0.176179
"etort-40","etort-60 (sheared2)",0.175786
"etort-41","etort-60 (sheared2)",0.176721
"etort-42","etort-60 (sheared2)",0.178112
"etort-43","etort-60 (sheared2)",0.175317
"etort-44","etort-60 (sheared2)",0.176115
"etort-45","etort-60 (sheared2)",0.176088
"etort-52","etort-60 (sheared2)",0.174552
"etort-54","etort-60 (sheared2)",0.17494
"etort-57","etort-60 (sheared2)",0.174541
"etort-60 (sheared2)","etort-60 (sheared2)",0.114962
"etort-2","etort-61",0.173089
"etort-3","etort-61",0.17541
"etort-4","etort-61",0.175466
"etort-5","etort-61",0.178692
"etort-6","etort-61",0.1825
"etort-9","etort-61",0.178128
"etort-10","etort-61",0.178073
"etort-11","etort-61",0.178377
"etort-13","etort-61",0.172341
"etort-14","etort-61",0.17111
"etort-16","etort-61",0.179369
"etort-18","etort-61",0.177198
"etort-19","etort-61",0.173794
"etort-20","etort-61",0.174833
"etort-21","etort-61",0.176607
"etort-22","etort-61",0.176987
"etort-23","etort-61",0.179739
"etort-24","etort-61",0.178066
"etort-25","etort-61",0.179087
"etort-26","etort-61",0.178286
"etort-27","etort-61",0.179207
"etort-28","etort-61",0.178602
"etort-33","etort-61",0.179673
"etort-34","etort-61",0.179184
"etort-39","etort-61",0.178976
"etort-40","etort-61",0.178609
"etort-41","etort-61",0.180971
"etort-42","etort-61",0.182994
"etort-43","etort-61",0.179321
"etort-44","etort-61",0.179834
"etort-45","etort-61",0.179749
"etort-52","etort-61",0.179546
"etort-54","etort-61",0.179154
"etort-57","etort-61",0.172631
"etort-60 (sheared2)","etort-61",0.175457
"etort-61","etort-61",0.118771
"etort-2","etort-63",0.170391
"etort-3","etort-63",0.16971
"etort-4","etort-63",0.168893
"etort-5","etort-63",0.174966
"etort-6","etort-63",0.178927
"etort-9","etort-63",0.175639
"etort-10","etort-63",0.173197
"etort-11","etort-63",0.174131
"etort-13","etort-63",0.168275
"etort-14","etort-63",0.171526
"etort-16","etort-63",0.174319
"etort-18","etort-63",0.171539
"etort-19","etort-63",0.16698
"etort-20","etort-63",0.167064
"etort-21","etort-63",0.172497
"etort-22","etort-63",0.171716
"etort-23","etort-63",0.174512
"etort-24","etort-63",0.173639
"etort-25","etort-63",0.174173
"etort-26","etort-63",0.175771
"etort-27","etort-63",0.174089
"etort-28","etort-63",0.174234
"etort-33","etort-63",0.177084
"etort-34","etort-63",0.175811
"etort-39","etort-63",0.176534
"etort-40","etort-63",0.176148
"etort-41","etort-63",0.177806
"etort-42","etort-63",0.178721
"etort-43","etort-63",0.17599
"etort-44","etort-63",0.177363
"etort-45","etort-63",0.176693
"etort-52","etort-63",0.174923
"etort-54","etort-63",0.176034
"etort-57","etort-63",0.174082
"etort-60 (sheared2)","etort-63",0.168641
"etort-61","etort-63",0.17347
"etort-63","etort-63",0.110743
"etort-2","etort-64",0.169526
"etort-3","etort-64",0.167833
"etort-4","etort-64",0.169037
"etort-5","etort-64",0.173756
"etort-6","etort-64",0.179019
"etort-9","etort-64",0.174569
"etort-10","etort-64",0.170305
"etort-11","etort-64",0.171362
"etort-13","etort-64",0.167957
"etort-14","etort-64",0.172387
"etort-16","etort-64",0.172204
"etort-18","etort-64",0.168247
"etort-19","etort-64",0.168355
"etort-20","etort-64",0.168294
"etort-21","etort-64",0.169262
"etort-22","etort-64",0.170425
"etort-23","etort-64",0.173225
"etort-24","etort-64",0.171876
"etort-25","etort-64",0.17385
"etort-26","etort-64",0.174898
"etort-27","etort-64",0.1721
"etort-28","etort-64",0.172736
"etort-33","etort-64",0.175738
"etort-34","etort-64",0.176435
"etort-39","etort-64",0.176174
"etort-40","etort-64",0.176414
"etort-41","etort-64",0.176688
"etort-42","etort-64",0.178383
"etort-43","etort-64",0.175108
"etort-44","etort-64",0.176194
"etort-45","etort-64",0.176067
"etort-52","etort-64",0.17502
"etort-54","etort-64",0.175584
"etort-57","etort-64",0.17412
"etort-60 (sheared2)","etort-64",0.166903
"etort-61","etort-64",0.17433
"etort-63","etort-64",0.167543
"etort-64","etort-64",0.114753
"etort-2","etort-65",0.170386
"etort-3","etort-65",0.169584
"etort-4","etort-65",0.168447
"etort-5","etort-65",0.175318
"etort-6","etort-65",0.178798
"etort-9","etort-65",0.174617
"etort-10","etort-65",0.172477
"etort-11","etort-65",0.174051
"etort-13","etort-65",0.165684
"etort-14","etort-65",0.170106
"etort-16","etort-65",0.174356
"etort-18","etort-65",0.171335
"etort-19","etort-65",0.168234
"etort-20","etort-65",0.169211
"etort-21","etort-65",0.171629
"etort-22","etort-65",0.172075
"etort-23","etort-65",0.175075
"etort-24","etort-65",0.173858
"etort-25","etort-65",0.17541
"etort-26","etort-65",0.175544
"etort-27","etort-65",0.17487
"etort-28","etort-65",0.174314
"etort-33","etort-65",0.176478
"etort-34","etort-65",0.176334
"etort-39","etort-65",0.176568
"etort-40","etort-65",0.176323
"etort-41","etort-65",0.176933
"etort-42","etort-65",0.178201
"etort-43","etort-65",0.176283
"etort-44","etort-65",0.176775
"etort-45","etort-65",0.17657
"etort-52","etort-65",0.175914
"etort-54","etort-65",0.175182
"etort-57","etort-65",0.171808
"etort-60 (sheared2)","etort-65",0.169582
"etort-61","etort-65",0.1726
"etort-63","etort-65",0.166738
"etort-64","etort-65",0.167127
"etort-65","etort-65",0.119721
"etort-2","etort-66",0.171619
"etort-3","etort-66",0.169658
"etort-4","etort-66",0.170117
"etort-5","etort-66",0.173932
"etort-6","etort-66",0.178726
"etort-9","etort-66",0.173811
"etort-10","etort-66",0.167219
"etort-11","etort-66",0.167177
"etort-13","etort-66",0.170493
"etort-14","etort-66",0.173193
"etort-16","etort-66",0.171863
"etort-18","etort-66",0.167087
"etort-19","etort-66",0.169946
"etort-20","etort-66",0.170887
"etort-21","etort-66",0.164837
"etort-22","etort-66",0.165945
"etort-23","etort-66",0.169326
"etort-24","etort-66",0.167946
"etort-25","etort-66",0.169315
"etort-26","etort-66",0.174491
"etort-27","etort-66",0.168292
"etort-28","etort-66",0.167477
"etort-33","etort-66",0.175165
"etort-34","etort-66",0.174958
"etort-39","etort-66",0.175793
"etort-40","etort-66",0.175582
"etort-41","etort-66",0.176197
"etort-42","etort-66",0.17733
"etort-43","etort-66",0.174985
"etort-44","etort-66",0.175341
"etort-45","etort-66",0.175532
"etort-52","etort-66",0.174714
"etort-54","etort-66",0.174689
"etort-57","etort-66",0.174749
"etort-60 (sheared2)","etort-66",0.166816
"etort-61","etort-66",0.176138
"etort-63","etort-66",0.169437
"etort-64","etort-66",0.167092
"etort-65","etort-66",0.169536
"etort-66","etort-66",0.119643
"etort-2","etort-67",0.169851
"etort-3","etort-67",0.168066
"etort-4","etort-67",0.168038
"etort-5","etort-67",0.173894
"etort-6","etort-67",0.178891
"etort-9","etort-67",0.173987
"etort-10","etort-67",0.169901
"etort-11","etort-67",0.171358
"etort-13","etort-67",0.168341
"etort-14","etort-67",0.17258
"etort-16","etort-67",0.172159
"etort-18","etort-67",0.168327
"etort-19","etort-67",0.168245
"etort-20","etort-67",0.167597
"etort-21","etort-67",0.168897
"etort-22","etort-67",0.168355
"etort-23","etort-67",0.173674
"etort-24","etort-67",0.171613
"etort-25","etort-67",0.172837
"etort-26","etort-67",0.175034
"etort-27","etort-67",0.171505
"etort-28","etort-67",0.171493
"etort-33","etort-67",0.1763
"etort-34","etort-67",0.175307
"etort-39","etort-67",0.176157
"etort-40","etort-67",0.176135
"etort-41","etort-67",0.176782
"etort-42","etort-67",0.178358
"etort-43","etort-67",0.176082
"etort-44","etort-67",0.176678
"etort-45","etort-67",0.17565
"etort-52","etort-67",0.174624
"etort-54","etort-67",0.174165
"etort-57","etort-67",0.173547
