"etort1","etort2","covariance"
"etort-14","etort-26",0.001891
"etort-16","etort-26",0.004375
"etort-18","etort-26",0.001777
"etort-19","etort-26",0.002043
"etort-20","etort-26",0.00199
"etort-21","etort-26",0.001492
"etort-22","etort-26",0.001251
"etort-23","etort-26",0.001381
"etort-24","etort-26",0.001274
"etort-25","etort-26",0.001554
"etort-26","etort-26",0.132576
"etort-2","etort-27",0.002147
"etort-3","etort-27",0.002898
"etort-4","etort-27",0.003042
"etort-5","etort-27",0.001973
"etort-6","etort-27",0.001139
"etort-9","etort-27",0.00137
"etort-10","etort-27",0.004645
"etort-11","etort-27",0.005654
"etort-13","etort-27",0.002018
"etort-14","etort-27",0.002257
"etort-16","etort-27",0.005019
"etort-18","etort-27",0.003805
"etort-19","etort-27",0.002757
"etort-20","etort-27",0.002953
"etort-21","etort-27",0.005631
"etort-22","etort-27",0.004121
"etort-23","etort-27",0.004212
"etort-24","etort-27",0.004321
"etort-25","etort-27",0.005602
"etort-26","etort-27",0.00193
"etort-27","etort-27",0.155358
"etort-2","etort-28",0.001831
"etort-3","etort-28",0.002764
"etort-4","etort-28",0.002857
"etort-5","etort-28",0.001783
"etort-6","etort-28",0.001336
"etort-9","etort-28",0.001432
"etort-10","etort-28",0.004198
"etort-11","etort-28",0.005319
"etort-13","etort-28",0.002153
"etort-14","etort-28",0.002216
"etort-16","etort-28",0.005247
"etort-18","etort-28",0.003783
"etort-19","etort-28",0.00287
"etort-20","etort-28",0.003029
"etort-21","etort-28",0.005502
"etort-22","etort-28",0.004357
"etort-23","etort-28",0.004279
"etort-24","etort-28",0.004217
"etort-25","etort-28",0.005283
"etort-26","etort-28",0.002062
"etort-27","etort-28",0.007141
"etort-28","etort-28",0.151524
"etort-2","etort-33",0.001253
"etort-3","etort-33",0.001477
"etort-4","etort-33",0.001593
"etort-5","etort-33",0.002355
"etort-6","etort-33",0.003382
"etort-9","etort-33",0.002492
"etort-10","etort-33",0.001241
"etort-11","etort-33",0.001415
"etort-13","etort-33",0.001397
"etort-14","etort-33",0.001215
"etort-16","etort-33",0.003672
"etort-18","etort-33",0.001353
"etort-19","etort-33",0.001505
"etort-20","etort-33",0.001555
"etort-21","etort-33",0.001225
"etort-22","etort-33",0.001149
"etort-23","etort-33",0.001157
"etort-24","etort-33",0.001136
"etort-25","etort-33",0.001359
"etort-26","etort-33",0.00309
"etort-27","etort-33",0.001499
"etort-28","etort-33",0.00157
"etort-33","etort-33",0.120431
"etort-2","etort-34",0.001513
"etort-3","etort-34",0.001702
"etort-4","etort-34",0.001941
"etort-5","etort-34",0.002588
"etort-6","etort-34",0.003267
"etort-9","etort-34",0.002894
"etort-10","etort-34",0.001244
"etort-11","etort-34",0.00144
"etort-13","etort-34",0.001472
"etort-14","etort-34",0.001723
"etort-16","etort-34",0.003939
"etort-18","etort-34",0.001711
"etort-19","etort-34",0.001867
"etort-20","etort-34",0.001775
"etort-21","etort-34",0.00162
"etort-22","etort-34",0.001222
"etort-23","etort-34",0.001192
"etort-24","etort-34",0.001446
"etort-25","etort-34",0.001404
"etort-26","etort-34",0.003716
"etort-27","etort-34",0.00188
"etort-28","etort-34",0.001876
"etort-33","etort-34",0.002991
"etort-34","etort-34",0.124622
"etort-2","etort-39",0.001737
"etort-3","etort-39",0.001703
"etort-4","etort-39",0.001882
"etort-5","etort-39",0.00255
"etort-6","etort-39",0.003454
"etort-9","etort-39",0.003013
"etort-10","etort-39",0.00148
"etort-11","etort-39",0.001509
"etort-13","etort-39",0.001684
"etort-14","etort-39",0.001741
"etort-16","etort-39",0.003622
"etort-18","etort-39",0.001624
"etort-19","etort-39",0.00199
"etort-20","etort-39",0.001705
"etort-21","etort-39",0.001483
"etort-22","etort-39",0.001421
"etort-23","etort-39",0.001368
"etort-24","etort-39",0.001275
"etort-25","etort-39",0.001563
"etort-26","etort-39",0.003966
"etort-27","etort-39",0.001983
"etort-28","etort-39",0.002184
"etort-33","etort-39",0.003112
"etort-34","etort-39",0.003779
"etort-39","etort-39",0.127951
"etort-2","etort-40",0.001579
"etort-3","etort-40",0.001779
"etort-4","etort-40",0.002042
"etort-5","etort-40",0.002936
"etort-6","etort-40",0.003689
"etort-9","etort-40",0.003103
"etort-10","etort-40",0.001405
"etort-11","etort-40",0.001693
"etort-13","etort-40",0.001793
"etort-14","etort-40",0.00177
"etort-16","etort-40",0.004236
"etort-18","etort-40",0.001646
"etort-19","etort-40",0.00199
"etort-20","etort-40",0.001943
"etort-21","etort-40",0.001542
"etort-22","etort-40",0.001415
"etort-23","etort-40",0.001608
"etort-24","etort-40",0.001442
"etort-25","etort-40",0.001631
"etort-26","etort-40",0.003813
"etort-27","etort-40",0.001958
"etort-28","etort-40",0.002211
"etort-33","etort-40",0.003249
"etort-34","etort-40",0.003751
"etort-39","etort-40",0.004352
"etort-40","etort-40",0.132874
"etort-2","etort-41",0.001952
"etort-3","etort-41",0.001902
"etort-4","etort-41",0.002275
"etort-5","etort-41",0.003327
"etort-6","etort-41",0.005992
"etort-9","etort-41",0.00363
"etort-10","etort-41",0.001482
"etort-11","etort-41",0.001981
"etort-13","etort-41",0.001696
"etort-14","etort-41",0.001747
"etort-16","etort-41",0.005048
"etort-18","etort-41",0.002107
"etort-19","etort-41",0.002316
"etort-20","etort-41",0.002331
"etort-21","etort-41",0.001746
"etort-22","etort-41",0.001376
"etort-23","etort-41",0.001645
"etort-24","etort-41",0.001729
"etort-25","etort-41",0.001891
"etort-26","etort-41",0.004863
"etort-27","etort-41",0.002208
"etort-28","etort-41",0.002435
"etort-33","etort-41",0.004557
"etort-34","etort-41",0.004504
"etort-39","etort-41",0.004822
"etort-40","etort-41",0.004994
"etort-41","etort-41",0.196619
"etort-2","etort-42",0.000863
"etort-3","etort-42",0.000861
"etort-4","etort-42",0.000978
"etort-5","etort-42",0.001459
"etort-6","etort-42",0.002529
"etort-9","etort-42",0.001564
"etort-10","etort-42",0.000603
"etort-11","etort-42",0.000586
"etort-13","etort-42",0.000683
"etort-14","etort-42",0.000672
"etort-16","etort-42",0.002151
"etort-18","etort-42",0.000772
"etort-19","etort-42",0.000813
"etort-20","etort-42",0.000898
"etort-21","etort-42",0.00084
"etort-22","etort-42",0.000699
"etort-23","etort-42",0.00039
"etort-24","etort-42",0.000609
"etort-25","etort-42",0.000821
"etort-26","etort-42",0.002049
"etort-27","etort-42",0.000839
