"etort1","etort2","distance"
"etort-11","etort-25",15887.5766724284
"etort-13","etort-25",172196.744641854
"etort-14","etort-25",184783.345110417
"etort-16","etort-25",76236.5466558422
"etort-18","etort-25",37570.6232454065
"etort-19","etort-25",157827.771215627
"etort-20","etort-25",151710.429341332
"etort-21","etort-25",64793.4874962333
"etort-22","etort-25",67739.7164176467
"etort-23","etort-25",25631.204956218
"etort-24","etort-25",17812.6286410002
"etort-25","etort-25",0
"etort-2","etort-26",199948.597116051
"etort-3","etort-26",132737.888655872
"etort-4","etort-26",109385.26969106
"etort-5","etort-26",119808.485297337
"etort-6","etort-26",114670.222321198
"etort-9","etort-26",16768.1330578427
"etort-10","etort-26",284726.817957995
"etort-11","etort-26",222467.079927434
"etort-13","etort-26",118037.663540202
"etort-14","etort-26",136737.785754283
"etort-16","etort-26",151483.592045602
"etort-18","etort-26",230827.307400575
"etort-19","etort-26",101976.51580179
"etort-20","etort-26",112423.523265844
"etort-21","etort-26",276573.624840103
"etort-22","etort-26",267993.385739358
"etort-23","etort-26",202243.181934243
"etort-24","etort-26",244648.48366632
"etort-25","etort-26",227719.684588482
"etort-26","etort-26",0
"etort-2","etort-27",167625.868170228
"etort-3","etort-27",189951.198732654
"etort-4","etort-27",207239.318411438
"etort-5","etort-27",189427.158042974
"etort-6","etort-27",262632.047232207
"etort-9","etort-27",293356.305718519
"etort-10","etort-27",55399.6320996654
"etort-11","etort-27",86956.1117244272
"etort-13","etort-27",235273.968423295
"etort-14","etort-27",241517.153646263
"etort-16","etort-27",159009.393476543
"etort-18","etort-27",80151.6240873908
"etort-19","etort-27",227604.763541103
"etort-20","etort-27",219412.768505607
"etort-21","etort-27",38683.3653997423
"etort-22","etort-27",54204.0458686043
"etort-23","etort-27",110333.09302831
"etort-24","etort-27",72506.3343996141
"etort-25","etort-27",85355.6895194215
"etort-26","etort-27",309037.530026691
"etort-27","etort-27",0
"etort-2","etort-28",183047.951369765
"etort-3","etort-28",203899.986979999
"etort-4","etort-28",220587.404216915
"etort-5","etort-28",201170.943019686
"etort-6","etort-28",270316.306824293
"etort-9","etort-28",305095.81365402
"etort-10","etort-28",70211.8902694632
"etort-11","etort-28",98494.2430934655
"etort-13","etort-28",249791.066721017
"etort-14","etort-28",256462.561286651
"etort-16","etort-28",170139.365085052
"etort-18","etort-28",93911.8763119015
"etort-19","etort-28",241465.383618032
"etort-20","etort-28",233466.527945127
"etort-21","etort-28",53992.6995677749
"etort-22","etort-28",69648.0303365781
"etort-23","etort-28",120440.489582107
"etort-24","etort-28",80374.3768415346
"etort-25","etort-28",94962.4426236557
"etort-26","etort-28",320961.32205979
"etort-27","etort-28",15461.1550205679
"etort-28","etort-28",0
"etort-2","etort-33",184842.043739356
"etort-3","etort-33",113009.593248097
"etort-4","etort-33",91703.2512220548
"etort-5","etort-33",71378.1382396053
"etort-6","etort-33",45620.9382532753
"etort-9","etort-33",64673.1447035379
"etort-10","etort-33",237905.861689212
"etort-11","etort-33",164444.189503926
"etort-13","etort-33",130845.410258526
"etort-14","etort-33",154359.901877515
"etort-16","etort-33",93780.6742329104
"etort-18","etort-33",178889.515138475
