"EM_Tort_ID","UTM_Zone","Easting","Northing","Berkeley.Sample.."
"etort-266","11N",695742,3972621,"HSEM028H"
"etort-268","11N",677638,3950885,"HSEM028J"
"etort-269","11N",611035,3983346,"HSEM029A"
"etort-272","11N",678181,3958550,"HSEM029D"
"etort-282","11N",682036,4044895,"HSEM030D"
"etort-283","11N",685923,4095990,"HSEM030E"
"etort-285","11N",599774,4044665,"HSEM030G"
"etort-286","11N",653248,3968474,"HSEM030H"
"etort-288","11N",687999,4070144,"HSEM030J"
"etort-289","11N",702623,4070713,"HSEM030A"
"etort-296","NAD83_11N",655843,3930227,"HSEM030B"
"etort-297","NAD83_11N",642192,3934034,"HSEM030C"
