"etort1","etort2","distance"
"etort-56 (sheared2)","etort-62",92350.5993532267
"etort-58","etort-62",148330.239945215
"etort-59","etort-62",29304.5278657479
"etort-62","etort-62",0
"etort-15","etort-78",115057.255810232
"etort-17","etort-78",159401.132607865
"etort-31","etort-78",138641.800202305
"etort-36","etort-78",59813.0121804897
"etort-37","etort-78",74442.6450227597
"etort-38","etort-78",74725.9561302851
"etort-46","etort-78",141491.650649742
"etort-47","etort-78",141344.290683367
"etort-48","etort-78",138985.06429667
"etort-49","etort-78",162232.273687816
"etort-51","etort-78",166555.700101634
"etort-53","etort-78",120516.480475343
"etort-55","etort-78",138605.111081116
"etort-56 (sheared2)","etort-78",106185.439363041
"etort-58","etort-78",105292.647717132
"etort-59","etort-78",111658.4294429
"etort-62","etort-78",96758.6892204987
"etort-78","etort-78",0
"etort-15","etort-79",119148.474898753
"etort-17","etort-79",180920.985966468
"etort-31","etort-79",156580.455476828
"etort-36","etort-79",47405.7005604482
"etort-37","etort-79",119854.601314851
"etort-38","etort-79",87195.7582694376
"etort-46","etort-79",75561.4186241368
"etort-47","etort-79",75549.3571043628
"etort-48","etort-79",73184.362002788
"etort-49","etort-79",96277.987163512
"etort-51","etort-79",100549.030352928
"etort-53","etort-79",112706.498566855
"etort-55","etort-79",72919.4640365644
"etort-56 (sheared2)","etort-79",41253.7157980545
"etort-58","etort-79",162310.659001854
"etort-59","etort-79",66484.8974107266
"etort-62","etort-79",70478.1009253589
"etort-78","etort-79",66277.4733596181
"etort-79","etort-79",0
"etort-15","etort-80",123715.891850956
"etort-17","etort-80",183464.433536561
"etort-31","etort-80",159465.21337314
"etort-36","etort-80",36550.832980716
"etort-37","etort-80",108024.195899618
"etort-38","etort-80",89239.8715503022
"etort-46","etort-80",85916.2428954147
"etort-47","etort-80",86039.4311338801
"etort-48","etort-80",83681.6427624908
"etort-49","etort-80",104744.536773625
"etort-51","etort-80",109096.372727579
"etort-53","etort-80",119077.575434044
"etort-55","etort-80",83515.7595960762
"etort-56 (sheared2)","etort-80",48559.3739011799
"etort-58","etort-80",157412.912175989
"etort-59","etort-80",77379.3640878006
"etort-62","etort-80",78626.0028154453
"etort-78","etort-80",57629.8991285165
"etort-79","etort-80",11903.7092980163
"etort-80","etort-80",0
"etort-15","etort-81",141636.357345875
"etort-17","etort-81",207965.997482584
"etort-31","etort-81",183576.49836926
"etort-36","etort-81",103187.149353864
"etort-37","etort-81",182209.603972891
"etort-38","etort-81",125267.570005996
"etort-46","etort-81",12681.1575710872
"etort-47","etort-81",11807.098328785
"etort-48","etort-81",9681.11296167151
"etort-49","etort-81",42618.8525844973
"etort-51","etort-81",45657.3557216024
"etort-53","etort-81",126312.655061348
"etort-55","etort-81",8822.74558962932
"etort-56 (sheared2)","etort-81",37298.8902812611
"etort-58","etort-81",217329.045240615
"etort-59","etort-81",57434.2835779344
"etort-62","etort-81",83756.1804163979
"etort-78","etort-81",130263.031059335
"etort-79","etort-81",64919.3925145435
