"etort1","etort2","pi"
"etort-53","etort-93",0.167868
"etort-55","etort-93",0.171898
"etort-56 (sheared2)","etort-93",0.166366
"etort-58","etort-93",0.166851
"etort-59","etort-93",0.174448
"etort-62","etort-93",0.168845
"etort-78","etort-93",0.165191
"etort-79","etort-93",0.166356
"etort-80","etort-93",0.162043
"etort-81","etort-93",0.170885
"etort-82","etort-93",0.169626
"etort-83","etort-93",0.171827
"etort-84","etort-93",0.171463
"etort-85","etort-93",0.171107
"etort-86","etort-93",0.167262
"etort-87","etort-93",0.162452
"etort-89","etort-93",0.170667
"etort-90","etort-93",0.170708
"etort-93","etort-93",0.105843
"etort-15","etort-94",0.17175
"etort-17","etort-94",0.172098
"etort-31","etort-94",0.173072
"etort-36","etort-94",0.171729
"etort-37","etort-94",0.169501
"etort-38","etort-94",0.173463
"etort-46","etort-94",0.173452
"etort-47","etort-94",0.172625
"etort-48","etort-94",0.170043
"etort-49","etort-94",0.170084
"etort-51","etort-94",0.175847
"etort-53","etort-94",0.172769
"etort-55","etort-94",0.171643
"etort-56 (sheared2)","etort-94",0.168815
"etort-58","etort-94",0.172104
"etort-59","etort-94",0.176063
"etort-62","etort-94",0.172122
"etort-78","etort-94",0.171858
"etort-79","etort-94",0.170104
"etort-80","etort-94",0.168091
"etort-81","etort-94",0.172391
"etort-82","etort-94",0.170004
"etort-83","etort-94",0.173289
"etort-84","etort-94",0.173471
"etort-85","etort-94",0.172599
"etort-86","etort-94",0.172327
"etort-87","etort-94",0.169012
"etort-89","etort-94",0.172706
"etort-90","etort-94",0.171535
"etort-93","etort-94",0.169725
"etort-94","etort-94",0.10977
"etort-15","etort-95",0.163058
"etort-17","etort-95",0.164102
"etort-31","etort-95",0.165258
"etort-36","etort-95",0.166999
"etort-37","etort-95",0.163487
"etort-38","etort-95",0.16548
"etort-46","etort-95",0.16886
"etort-47","etort-95",0.16949
"etort-48","etort-95",0.166723
"etort-49","etort-95",0.171699
"etort-51","etort-95",0.176639
"etort-53","etort-95",0.164837
"etort-55","etort-95",0.169322
"etort-56 (sheared2)","etort-95",0.167996
"etort-58","etort-95",0.164067
"etort-59","etort-95",0.171165
"etort-62","etort-95",0.165141
"etort-78","etort-95",0.165594
"etort-79","etort-95",0.166734
"etort-80","etort-95",0.166382
"etort-81","etort-95",0.170213
"etort-82","etort-95",0.167355
"etort-83","etort-95",0.169622
"etort-84","etort-95",0.169673
"etort-85","etort-95",0.169546
"etort-86","etort-95",0.164392
"etort-87","etort-95",0.16575
"etort-89","etort-95",0.169536
"etort-90","etort-95",0.167611
"etort-93","etort-95",0.16634
"etort-94","etort-95",0.170281
"etort-95","etort-95",0.108627
"etort-15","etort-112",0.171687
"etort-17","etort-112",0.172887
"etort-31","etort-112",0.174033
"etort-36","etort-112",0.174704
"etort-37","etort-112",0.173594
"etort-38","etort-112",0.17472
"etort-46","etort-112",0.174815
"etort-47","etort-112",0.174418
"etort-48","etort-112",0.172529
"etort-49","etort-112",0.176088
"etort-51","etort-112",0.179788
"etort-53","etort-112",0.172677
"etort-55","etort-112",0.174417
"etort-56 (sheared2)","etort-112",0.174267
"etort-58","etort-112",0.172462
"etort-59","etort-112",0.171212
"etort-62","etort-112",0.169626
"etort-78","etort-112",0.174481
"etort-79","etort-112",0.174749
"etort-80","etort-112",0.173757
"etort-81","etort-112",0.175448
"etort-82","etort-112",0.17397
"etort-83","etort-112",0.175292
"etort-84","etort-112",0.1754
"etort-85","etort-112",0.176015
"etort-86","etort-112",0.172596
"etort-87","etort-112",0.174781
"etort-89","etort-112",0.175621
"etort-90","etort-112",0.173317
"etort-93","etort-112",0.174302
"etort-94","etort-112",0.175938
"etort-95","etort-112",0.170314
"etort-112","etort-112",0.114725
"etort-15","etort-113",0.172997
"etort-17","etort-113",0.174518
"etort-31","etort-113",0.175309
"etort-36","etort-113",0.175706
"etort-37","etort-113",0.174029
"etort-38","etort-113",0.175732
"etort-46","etort-113",0.174861
"etort-47","etort-113",0.175151
"etort-48","etort-113",0.172636
"etort-49","etort-113",0.176004
"etort-51","etort-113",0.179904
"etort-53","etort-113",0.174416
"etort-55","etort-113",0.175281
"etort-56 (sheared2)","etort-113",0.175553
"etort-58","etort-113",0.174584
"etort-59","etort-113",0.17172
"etort-62","etort-113",0.171177
"etort-78","etort-113",0.17558
"etort-79","etort-113",0.176346
"etort-80","etort-113",0.175062
"etort-81","etort-113",0.175291
"etort-82","etort-113",0.175221
"etort-83","etort-113",0.175422
"etort-84","etort-113",0.174558
"etort-85","etort-113",0.175809
"etort-86","etort-113",0.175035
"etort-87","etort-113",0.174633
"etort-89","etort-113",0.175976
"etort-90","etort-113",0.175149
"etort-93","etort-113",0.174735
"etort-94","etort-113",0.176071
"etort-95","etort-113",0.171275
"etort-112","etort-113",0.170916
"etort-113","etort-113",0.115091
"etort-15","etort-130",0.169871
"etort-17","etort-130",0.171199
"etort-31","etort-130",0.172293
"etort-36","etort-130",0.170824
"etort-37","etort-130",0.169492
"etort-38","etort-130",0.17222
"etort-46","etort-130",0.169057
"etort-47","etort-130",0.169868
"etort-48","etort-130",0.167137
"etort-49","etort-130",0.172122
"etort-51","etort-130",0.176351
"etort-53","etort-130",0.171002
"etort-55","etort-130",0.168583
"etort-56 (sheared2)","etort-130",0.169531
"etort-58","etort-130",0.170476
"etort-59","etort-130",0.17359
"etort-62","etort-130",0.169824
"etort-78","etort-130",0.171251
"etort-79","etort-130",0.169801
"etort-80","etort-130",0.169705
"etort-81","etort-130",0.167639
"etort-82","etort-130",0.16686
"etort-83","etort-130",0.169902
"etort-84","etort-130",0.170953
"etort-85","etort-130",0.169299
"etort-86","etort-130",0.171022
"etort-87","etort-130",0.16987
"etort-89","etort-130",0.170921
"etort-90","etort-130",0.16836
"etort-93","etort-130",0.169656
"etort-94","etort-130",0.170614
"etort-95","etort-130",0.167634
"etort-112","etort-130",0.173922
"etort-113","etort-130",0.173917
"etort-130","etort-130",0.112272
"etort-15","etort-131",0.167629
"etort-17","etort-131",0.168529
"etort-31","etort-131",0.169308
"etort-36","etort-131",0.169233
"etort-37","etort-131",0.166391
"etort-38","etort-131",0.169754
"etort-46","etort-131",0.167199
"etort-47","etort-131",0.167588
"etort-48","etort-131",0.165305
"etort-49","etort-131",0.171966
"etort-51","etort-131",0.17638
"etort-53","etort-131",0.168863
"etort-55","etort-131",0.168164
"etort-56 (sheared2)","etort-131",0.168636
"etort-58","etort-131",0.168168
"etort-59","etort-131",0.172969
"etort-62","etort-131",0.168033
"etort-78","etort-131",0.169254
"etort-79","etort-131",0.168222
"etort-80","etort-131",0.167722
"etort-81","etort-131",0.168598
"etort-82","etort-131",0.165505
"etort-83","etort-131",0.168429
"etort-84","etort-131",0.166852
"etort-85","etort-131",0.169308
"etort-86","etort-131",0.168579
"etort-87","etort-131",0.168397
"etort-89","etort-131",0.167375
"etort-90","etort-131",0.167162
"etort-93","etort-131",0.168929
"etort-94","etort-131",0.170602
"etort-95","etort-131",0.164898
"etort-112","etort-131",0.172641
"etort-113","etort-131",0.17361
"etort-130","etort-131",0.165532
"etort-131","etort-131",0.109668
"etort-15","etort-132",0.169225
"etort-17","etort-132",0.169859
"etort-31","etort-132",0.17137
"etort-36","etort-132",0.171063
"etort-37","etort-132",0.168331
"etort-38","etort-132",0.171062
"etort-46","etort-132",0.170521
"etort-47","etort-132",0.169611
"etort-48","etort-132",0.167196
"etort-49","etort-132",0.173109
"etort-51","etort-132",0.177046
"etort-53","etort-132",0.169801
"etort-55","etort-132",0.170546
"etort-56 (sheared2)","etort-132",0.169765
"etort-58","etort-132",0.168877
"etort-59","etort-132",0.174435
"etort-62","etort-132",0.170276
"etort-78","etort-132",0.170814
"etort-79","etort-132",0.169532
"etort-80","etort-132",0.169436
"etort-81","etort-132",0.169838
"etort-82","etort-132",0.167894
"etort-83","etort-132",0.170835
"etort-84","etort-132",0.170054
"etort-85","etort-132",0.170083
"etort-86","etort-132",0.169366
"etort-87","etort-132",0.169873
"etort-89","etort-132",0.170795
"etort-90","etort-132",0.168448
"etort-93","etort-132",0.169193
"etort-94","etort-132",0.172365
"etort-95","etort-132",0.167263
"etort-112","etort-132",0.174952
"etort-113","etort-132",0.17494
"etort-130","etort-132",0.167484
"etort-131","etort-132",0.165995
"etort-132","etort-132",0.110592
"etort-15","etort-133",0.170946
"etort-17","etort-133",0.17222
"etort-31","etort-133",0.173005
"etort-36","etort-133",0.171739
"etort-37","etort-133",0.17007
"etort-38","etort-133",0.173174
"etort-46","etort-133",0.169848
"etort-47","etort-133",0.172064
"etort-48","etort-133",0.16894
"etort-49","etort-133",0.172808
"etort-51","etort-133",0.176772
"etort-53","etort-133",0.171202
"etort-55","etort-133",0.171204
"etort-56 (sheared2)","etort-133",0.172259
"etort-58","etort-133",0.170856
"etort-59","etort-133",0.174798
"etort-62","etort-133",0.170332
"etort-78","etort-133",0.171566
"etort-79","etort-133",0.171074
"etort-80","etort-133",0.171056
"etort-81","etort-133",0.170689
"etort-82","etort-133",0.168278
"etort-83","etort-133",0.171459
"etort-84","etort-133",0.171245
"etort-85","etort-133",0.170793
"etort-86","etort-133",0.171916
"etort-87","etort-133",0.170923
"etort-89","etort-133",0.170047
"etort-90","etort-133",0.16908
"etort-93","etort-133",0.170212
"etort-94","etort-133",0.17119
"etort-95","etort-133",0.168354
"etort-112","etort-133",0.174072
"etort-113","etort-133",0.175771
"etort-130","etort-133",0.169646
"etort-131","etort-133",0.167614
"etort-132","etort-133",0.168412
"etort-133","etort-133",0.11123
"etort-15","etort-134",0.168575
"etort-17","etort-134",0.170042
"etort-31","etort-134",0.171339
"etort-36","etort-134",0.169679
"etort-37","etort-134",0.168877
"etort-38","etort-134",0.171722
"etort-46","etort-134",0.168258
"etort-47","etort-134",0.168807
"etort-48","etort-134",0.166236
"etort-49","etort-134",0.171432
"etort-51","etort-134",0.176434
"etort-53","etort-134",0.170094
"etort-55","etort-134",0.168396
"etort-56 (sheared2)","etort-134",0.169549
"etort-58","etort-134",0.168847
"etort-59","etort-134",0.17324
"etort-62","etort-134",0.169417
"etort-78","etort-134",0.17125
"etort-79","etort-134",0.16901
"etort-80","etort-134",0.168406
"etort-81","etort-134",0.168614
"etort-82","etort-134",0.167498
"etort-83","etort-134",0.167993
"etort-84","etort-134",0.167886
"etort-85","etort-134",0.168554
"etort-86","etort-134",0.17007
"etort-87","etort-134",0.168675
"etort-89","etort-134",0.169565
"etort-90","etort-134",0.16726
"etort-93","etort-134",0.169192
"etort-94","etort-134",0.169933
"etort-95","etort-134",0.166976
"etort-112","etort-134",0.174542
"etort-113","etort-134",0.174401
"etort-130","etort-134",0.168066
"etort-131","etort-134",0.16521
"etort-132","etort-134",0.167629
"etort-133","etort-134",0.167439
"etort-134","etort-134",0.10873
"etort-15","etort-135",0.165676
"etort-17","etort-135",0.167889
"etort-31","etort-135",0.168961
"etort-36","etort-135",0.167749
"etort-37","etort-135",0.165171
"etort-38","etort-135",0.16797
"etort-46","etort-135",0.166596
"etort-47","etort-135",0.166231
"etort-48","etort-135",0.163693
"etort-49","etort-135",0.170332
"etort-51","etort-135",0.173678
"etort-53","etort-135",0.167272
"etort-55","etort-135",0.166928
"etort-56 (sheared2)","etort-135",0.166588
"etort-58","etort-135",0.166685
"etort-59","etort-135",0.172175
"etort-62","etort-135",0.166912
"etort-78","etort-135",0.167905
"etort-79","etort-135",0.165567
"etort-80","etort-135",0.165337
"etort-81","etort-135",0.166385
"etort-82","etort-135",0.166497
"etort-83","etort-135",0.167277
"etort-84","etort-135",0.165128
"etort-85","etort-135",0.167057
"etort-86","etort-135",0.167217
"etort-87","etort-135",0.167566
"etort-89","etort-135",0.166403
"etort-90","etort-135",0.163873
"etort-93","etort-135",0.167029
"etort-94","etort-135",0.168733
"etort-95","etort-135",0.16442
"etort-112","etort-135",0.172913
"etort-113","etort-135",0.172812
"etort-130","etort-135",0.165824
"etort-131","etort-135",0.163723
"etort-132","etort-135",0.163808
"etort-133","etort-135",0.166309
"etort-134","etort-135",0.163245
"etort-135","etort-135",0.10839
"etort-15","etort-136",0.167836
"etort-17","etort-136",0.168868
"etort-31","etort-136",0.170288
"etort-36","etort-136",0.169083
"etort-37","etort-136",0.167852
"etort-38","etort-136",0.168688
"etort-46","etort-136",0.168459
"etort-47","etort-136",0.168209
"etort-48","etort-136",0.164951
"etort-49","etort-136",0.17099
"etort-51","etort-136",0.176122
"etort-53","etort-136",0.168268
"etort-55","etort-136",0.168673
"etort-56 (sheared2)","etort-136",0.16826
"etort-58","etort-136",0.167741
"etort-59","etort-136",0.172349
"etort-62","etort-136",0.167404
"etort-78","etort-136",0.168478
"etort-79","etort-136",0.168656
"etort-80","etort-136",0.168021
"etort-81","etort-136",0.168612
"etort-82","etort-136",0.166317
"etort-83","etort-136",0.16787
"etort-84","etort-136",0.167996
"etort-85","etort-136",0.168369
"etort-86","etort-136",0.168458
"etort-87","etort-136",0.168179
"etort-89","etort-136",0.169015
"etort-90","etort-136",0.167188
"etort-93","etort-136",0.169148
"etort-94","etort-136",0.169632
"etort-95","etort-136",0.164978
"etort-112","etort-136",0.17291
