"etort","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"etort-15",0.0662307044069505,0.016999724424433,-0.0149407297246519,-0.0307870257974711,0.00864545615550168,-0.00414143314617788,-0.0049878776403399,0.00140965981011734,0.00058121541186118,0.00216896915111706
"etort-17",0.0648002877351916,0.0308749161963696,-0.0364590149660134,-0.0763458278297526,0.0422432260530526,-0.0120625131267931,-0.024039739942889,-0.0142509059534599,-0.00225048565010828,-0.00920947218483929
"etort-31",0.127936941968114,0.114848183137426,-0.143247051812326,-0.343837177486861,0.241814671176576,-0.0794648032257602,-0.120970724411799,-0.155545077882036,-0.00378732438018108,-0.0695008505155857
"etort-36",0.0547384929838765,0.00524760275154728,-0.0170082703779821,-0.0110868900424478,0.00141673610093753,-0.00483344259964302,-0.00841624659138198,0.00594947591677349,0.000719758981607544,0.000220739368429878
"etort-37",0.0781586016511562,0.0198673940294995,-0.0242812464119821,-0.0282638656558109,0.0122237440190465,-0.00167932229494208,-0.013359723934796,0.00249085058755987,0.00276511327315383,-0.000531804258753817
"etort-38",0.074736507875646,0.0296733409574004,-0.032271855739119,-0.0644320478207778,0.0324407799177626,-0.00749828983694775,-0.017137763714648,-0.008194610907358,-0.000733027453443791,-0.00444021048597135
"etort-46",0.0279384302118206,-0.00665110001474357,0.0032797916729848,0.015975424647569,-0.011074529150859,0.00331423225134259,-0.00611693969264241,0.00774565243380746,0.00232641574002332,-0.00165025043632687
"etort-47",0.0273781898505751,-0.00820902932659691,0.00463700982506787,0.0158294380548071,-0.0125177308476163,0.00197469281313126,-0.00507709776903302,0.00928423404123296,0.00137998326660352,-0.00219313071694769
"etort-48",0.0245797505583411,-0.00769641362583781,0.00273065548920539,0.0152156085623162,-0.00890102927280578,0.000941426717188108,-0.00614556898528111,0.00832396288628071,0.00186977761262916,-0.00241633096484778
"etort-49",0.0277615276227021,-0.0126185846644093,-0.0113350052741624,0.0308473071117965,0.00263353186340264,-0.00253311048966734,-0.00282739948570956,0.00947354353553929,0.00064051432449357,-0.00320933491140493
"etort-51",0.0257419798389421,-0.0735092483721177,-0.0256596583454313,0.478048328821992,0.834207379837707,0.20787230836695,0.0145561664697528,-0.0490476361208053,-0.0510479030092746,0.00390987079336625
"etort-53",0.0737217762643258,0.0269960081357685,-0.0282928015038612,-0.0555114318427858,0.0270357497108167,-0.0062204215060387,-0.0123377025503278,-0.00434584462227968,-0.00327344304843141,0.000912575380018729
"etort-55",0.0328270819144661,-0.00960571677794165,0.00461829342773892,0.0318241930680022,-0.0120380199628788,0.00600546777078835,-0.00602290873771675,0.00688132545045906,0.00460136018576253,-0.00378050016639673
"etort-56 (sheared2)",0.0331710120655353,-0.00447530445634129,-0.00863197076439913,0.011983766410488,-0.00586077497417017,-0.00198445550218263,-0.00527528920918619,0.00796779914211277,0.000366023166824806,-0.0024163995121996
"etort-58",0.0867395844214013,0.0410443429528694,-0.0439315291211006,-0.0886923893328586,0.0442812803957279,-0.0160446940230565,-0.0236341170087086,-0.0159867922798328,-0.00219049828381697,-0.00409529462330762
"etort-59",0.0220908296999088,-0.00885035635619634,0.0261151841565774,-0.0158966858758935,0.00131496582574756,-0.0070669759114708,0.00539681804453975,-0.000869715411467161,-0.00588823002802029,0.0120735259316973
"etort-62",0.0662463019356617,0.0131172051000391,0.00375376391831523,-0.0388169459038827,0.0152372587310801,-0.0107660583183359,0.000939765630670305,0.00304851776112211,-0.00607288321890914,0.0146114922975558
"etort-78",0.0567459460877141,0.012926895453363,-0.01551389577277,-0.0216990669838428,0.00559182634407731,-0.00217718862022846,-0.00488887051346513,0.00219116338963268,-0.000616230096507353,0.00107988751616701
"etort-79",0.0459641822827191,0.000124543431412594,-0.010648825917394,0.00426749453800037,-0.00207520425575406,-0.000316399461138085,-0.00243751344129372,0.00733584975381997,0.00276143567956127,-0.000241782552729167
"etort-80",0.0494363875321284,0.00214120883042191,-0.00925203399819352,0.00385809297667526,-0.00185560584556395,0.00253590072181284,-0.00873115996553638,0.00594711188090145,0.00109998266228947,-0.00202686832116945
"etort-81",0.0328917204705645,-0.00918560212981775,0.00684808184602196,0.027658598507488,-0.0130785652008171,0.00481338583682144,-0.0074181800367851,0.00720559659945658,0.00103148560143955,-0.00516954072634909
"etort-82",0.0513969436975392,-0.00786411969775772,0.00450788502137443,0.0406332993411475,-0.0243506595752432,0.00805704746860761,-0.0094730893067278,0.0156438918030079,0.00837964547845743,-0.0064511999998668
"etort-83",0.0378566805115763,-0.00852825124601993,0.00587694385313245,0.0241346122425354,-0.0202119997913674,0.00556117214877199,-0.00728874485121036,0.0113288748593392,0.00606280894187924,-0.00494731262974889
"etort-84",0.0412754563297394,-0.0104017632773763,0.0158799782537781,0.0281766513752745,-0.0215013666804397,0.00528447222883457,-0.0055355780027386,0.00936569801584466,0.00497434095791635,-0.00669348190829041
"etort-85",0.0448922460584848,-0.00769846970079278,0.00464576407843935,0.0351724971628969,-0.024969211519159,0.00728659758810572,-0.0103342424676896,0.0152097887287232,0.00662691690543239,-0.00425109018884959
"etort-86",0.0647876047236439,0.0286220602194501,-0.0326411950263761,-0.0656073630207929,0.032114421463133,-0.00981833014023223,-0.0201649936897971,-0.00847041224369756,-0.0046368535460471,-0.00669871210962938
"etort-87",0.0449832234522872,-6.9362716366542e-05,-0.0092542795946054,0.00461296202271899,-0.00109796653873981,0.000434445489353741,-0.00552809514985858,0.00888702204528236,0.00286064856954138,-0.00258197218243803
"etort-89",0.0428654121397702,-0.0112067931288234,0.00412259253298122,0.0309193354061419,-0.0209092144529934,0.00468607842599231,-0.0105793633987324,0.0106673845525052,0.00755099287393123,-0.00504494337897371
"etort-90",0.0785627203844699,-0.0224374538030667,0.0353233380747414,0.124698984562673,-0.0658241336682852,0.0209988723591019,-0.0238188403840192,0.0585079697625044,0.0660506207119429,-0.0231096403353492
"etort-93",0.0468395821578304,0.000368658672357136,-0.0116222053788973,0.00260856546862834,0.000662270744142623,-0.00169719322266818,-0.0061687979762032,0.00642576607777597,-0.000455784942229824,0.000268295941560428
"etort-94",0.0334092045601221,-0.00889284412136494,-0.00864625333868897,0.0188260533782154,-0.00365632831508722,-0.00288631150196581,-0.0039312093621539,0.0091830088336718,-0.000918266621446457,-0.0018676860926361
"etort-95",0.0633270908664174,0.00835223049498824,0.00241302491490757,-0.00475105759177837,-0.00593636013933994,2.7113373957591e-05,0.0053081350737518,0.00692035204686331,-0.000333858454907409,0.000189230786948824
"etort-112",0.0432963362465096,-0.00305690194451257,0.0553562909334817,-0.0462033770414752,0.0129280648088295,-0.0234801150098748,0.0143035041826322,-0.00424427575049039,-0.00790260650128871,0.0459893818350464
"etort-113",0.0379905836186118,-0.00524246561690047,0.0567996275646703,-0.0366742121339208,0.0092977675205337,-0.0163753016945944,0.00909816790894591,0.00232673105025176,-0.0170898819731089,0.0419922657369029
"etort-130",0.0546024950541694,-0.0101168285112628,0.0107447685798306,0.0474718414322837,-0.0338353954039444,0.0102411286185257,-0.00756850804478908,0.00807001528243888,0.00643508039542209,-0.00340519512830618
"etort-131",0.0573358274699567,-0.0049422733425771,0.010244439952189,0.0338477485727825,-0.0284312731424757,0.0117194468846208,-0.00460326571601566,0.0155733803259828,0.0122763828832829,-0.0016026889833587
"etort-132",0.0595110630794782,-0.00638354125596753,0.00663740993927248,0.0401560083842795,-0.0283849485479387,0.00890622006070757,-0.0108605857539641,0.00733613445867273,0.00971045711643002,-0.00490363070123367
"etort-133",0.0503830596250682,-0.00848526390894513,0.0103194887558792,0.038497810550949,-0.0260195966253313,0.0126618673205402,-0.0058207900018628,0.0128227826629192,0.00881919216150204,-0.00313887159121997
"etort-134",0.0554394386117169,-0.00838821206676094,0.000349901160815616,0.0469191474029037,-0.0350330857131651,0.00692456899360067,-0.00576467192875146,0.0130140259171403,0.0124238618537597,-0.00699465834248746
"etort-135",0.0575363042388315,-0.00714706809135715,0.00147638392885845,0.0391633149214485,-0.0229310214676518,0.00839888914363384,-0.0101795674729338,0.0213591913603456,0.00663722986666371,-0.00628117850415445
"etort-136",0.0571615066805261,-0.00287862652807374,0.00482805824028541,0.0323416273888944,-0.0252554383703953,0.0071158363339516,-0.00848674222481321,0.02009899615589,0.0124795681637728,-0.00468313879750237
"etort-137",0.0736030588844665,-0.00837500697003125,0.0161959333861397,0.0844208891402114,-0.0439990596868746,0.0239970932211234,-0.0115294931221143,0.0448191910015552,0.043067075874327,-0.0155998743318351
"etort-138",0.0601289895157694,-0.00886981137431148,0.0100644956917403,0.0493491075475678,-0.0311473674414978,0.0151659002841724,-0.0160376391276253,0.0211228077487551,0.0187781535308075,-0.00974129101157109
"etort-139",0.0546010677932502,-0.00880643229369702,0.00858163012697011,0.0413899068508926,-0.0345092271470044,0.00469709584835143,-0.00938097548951239,0.0149985488426144,0.00810510795262255,-0.00192296820738079
"etort-140",0.0663888758364314,-0.00451720868334422,0.00507496987387558,0.035330893087956,-0.022842119303352,0.00854667785863314,-0.00764037494447251,0.0143085131670016,0.0101298505430447,-0.00132893394804776
"etort-141",0.102502584726059,-0.00240885800606823,0.0233663586683644,0.138349492797106,-0.0894067399672068,0.0265627762840186,-0.0341297624846152,0.0712662640085671,0.0848813748949135,0.0339673588053152
"etort-142",0.0351496722844457,-0.00984380677104499,-0.00814945242375857,0.0252304879515331,-0.0138530372669219,-0.000540005184292489,-0.00321065189770638,0.0122649515860696,0.00320366818222523,-0.00355329782699491
"etort-143",0.0592575010358503,-0.00670584134596701,0.00508796579708607,0.0359463300329672,-0.0331100438443053,0.00521910547972761,-0.00934833824329062,0.0176574972296821,0.0119206762429649,-0.00563161755137194
"etort-144",0.039220576934471,-0.00872255559715285,0.00660930836258281,0.0226174617919157,-0.0157019090638083,0.00398192134469388,-0.00852558514500317,0.0168011369688099,0.00458203215450519,-0.00139454020577514
"etort-145",0.0400719247460349,-0.00471652204032841,0.00417119298257815,0.0188820563090071,-0.0155521885438263,0.00391049163594589,-0.00634861093665512,0.0104929274545808,0.00218257211339199,-0.00262951764879938
"etort-146",0.0527914647520494,-0.00635181098906855,0.00207419312523158,0.0343723683546943,-0.0234158093083838,0.00408957422350601,-0.0044729623425335,0.00730532158102676,0.00202230094584012,-0.000917955697731572
"etort-147",0.0639773437090474,-0.00809910896749426,0.0125531920871186,0.0453733726518389,-0.0351333383557177,0.00773165711888353,-0.0105834035554704,0.0282894732264797,0.015829801880511,-0.00467654494578761
"etort-148",0.02068851988248,-0.0111186508593412,-0.00249524039101609,0.0275637553651182,-0.019111178773127,-0.00415402073103988,-0.00780203228367313,0.015720105726303,0.000773875971542432,-0.00152908385964409
"etort-149",0.0474624614771014,-0.00751237070433913,0.0122651911703052,0.0332115618102177,-0.023776930711312,0.00495627310187369,-0.00743505168189179,0.0196165135880313,0.00458529240451293,-0.00384888808654074
"etort-150",0.052694230821103,-0.00725086879697808,0.00852726765188875,0.0387226143055309,-0.0270016517342781,0.00637281710135592,-0.00574692109662722,0.0205005171941151,0.0102269031333119,-0.00720537482594467
"etort-151",0.0907861119084123,-0.0102185710588962,0.0539582598883214,0.171328476798543,-0.137894911283008,0.0565386465410838,-0.019354540461354,0.100149016778051,0.16558329667458,-0.0105340262643756
"etort-152",0.0443707877981381,-0.0111471866667808,0.0134385603849258,0.0359635808183659,-0.0279597753907801,0.0062626506677331,-0.00951990040436398,0.0103510491733052,0.00555677085784063,-0.00353907353100636
"etort-153",0.0473126048171383,-0.00931211346020681,0.00973516994598516,0.0290929531204756,-0.027460350479657,0.00336201230731799,-0.007477270054777,0.0130623833454698,0.00521301235551637,-0.0012441150578678
"etort-154",0.042272483056536,-0.0171238734372307,0.0265035571541955,0.0245054305621083,-0.0232933316445168,-0.000287172745029814,-0.00571698159796705,0.0180647836318455,0.00359029442726485,0.00638581626402354
