"etort1","etort2","covariance"
"etort-56 (sheared2)","etort-78",0.00162
"etort-58","etort-78",0.005297
"etort-59","etort-78",0.000958
"etort-62","etort-78",0.003338
"etort-78","etort-78",0.118175
"etort-15","etort-79",0.002485
"etort-17","etort-79",0.002241
"etort-31","etort-79",0.004084
"etort-36","etort-79",0.003055
"etort-37","etort-79",0.003636
"etort-38","etort-79",0.002734
"etort-46","etort-79",0.001029
"etort-47","etort-79",0.000934
"etort-48","etort-79",0.000773
"etort-49","etort-79",0.001244
"etort-51","etort-79",0.000784
"etort-53","etort-79",0.002703
"etort-55","etort-79",0.000984
"etort-56 (sheared2)","etort-79",0.001874
"etort-58","etort-79",0.003211
"etort-59","etort-79",0.000388
"etort-62","etort-79",0.002404
"etort-78","etort-79",0.002761
"etort-79","etort-79",0.117598
"etort-15","etort-80",0.002893
"etort-17","etort-80",0.0025
"etort-31","etort-80",0.004405
"etort-36","etort-80",0.003369
"etort-37","etort-80",0.004055
"etort-38","etort-80",0.002986
"etort-46","etort-80",0.001131
"etort-47","etort-80",0.000949
"etort-48","etort-80",0.000932
"etort-49","etort-80",0.00145
"etort-51","etort-80",0.000925
"etort-53","etort-80",0.003045
"etort-55","etort-80",0.001269
"etort-56 (sheared2)","etort-80",0.001906
"etort-58","etort-80",0.003394
"etort-59","etort-80",0.000593
"etort-62","etort-80",0.002465
"etort-78","etort-80",0.002972
"etort-79","etort-80",0.00302
"etort-80","etort-80",0.11601
"etort-15","etort-81",0.001463
"etort-17","etort-81",0.001067
"etort-31","etort-81",0.001731
"etort-36","etort-81",0.00128
"etort-37","etort-81",0.001712
"etort-38","etort-81",0.001269
"etort-46","etort-81",0.001094
"etort-47","etort-81",0.000939
"etort-48","etort-81",0.000744
"etort-49","etort-81",0.000755
"etort-51","etort-81",0.001103
"etort-53","etort-81",0.001443
"etort-55","etort-81",0.001294
"etort-56 (sheared2)","etort-81",0.000946
"etort-58","etort-81",0.001523
"etort-59","etort-81",0.000256
"etort-62","etort-81",0.000996
"etort-78","etort-81",0.001279
"etort-79","etort-81",0.001253
"etort-80","etort-81",0.001377
"etort-81","etort-81",0.109471
"etort-15","etort-82",0.002323
"etort-17","etort-82",0.001876
"etort-31","etort-82",0.00335
"etort-36","etort-82",0.001902
"etort-37","etort-82",0.002535
"etort-38","etort-82",0.002537
"etort-46","etort-82",0.001601
"etort-47","etort-82",0.001254
"etort-48","etort-82",0.001248
"etort-49","etort-82",0.001267
"etort-51","etort-82",0.001038
"etort-53","etort-82",0.002388
"etort-55","etort-82",0.00192
"etort-56 (sheared2)","etort-82",0.001306
"etort-58","etort-82",0.002629
"etort-59","etort-82",0.000362
"etort-62","etort-82",0.002068
"etort-78","etort-82",0.002006
"etort-79","etort-82",0.001899
"etort-80","etort-82",0.002018
"etort-81","etort-82",0.002007
"etort-82","etort-82",0.131781
"etort-15","etort-83",0.001697
"etort-17","etort-83",0.001397
"etort-31","etort-83",0.002481
"etort-36","etort-83",0.001097
"etort-37","etort-83",0.001894
"etort-38","etort-83",0.001781
"etort-46","etort-83",0.001062
"etort-47","etort-83",0.001284
"etort-48","etort-83",0.001066
"etort-49","etort-83",0.000627
"etort-51","etort-83",0.000191
"etort-53","etort-83",0.001646
"etort-55","etort-83",0.001409
"etort-56 (sheared2)","etort-83",0.000917
"etort-58","etort-83",0.002055
"etort-59","etort-83",0.000512
"etort-62","etort-83",0.001522
"etort-78","etort-83",0.00149
"etort-79","etort-83",0.001269
"etort-80","etort-83",0.001263
"etort-81","etort-83",0.000838
"etort-82","etort-83",0.002157
"etort-83","etort-83",0.122578
"etort-15","etort-84",0.001655
"etort-17","etort-84",0.001359
"etort-31","etort-84",0.00262
"etort-36","etort-84",0.001446
"etort-37","etort-84",0.001837
"etort-38","etort-84",0.001754
"etort-46","etort-84",0.001219
"etort-47","etort-84",0.001205
"etort-48","etort-84",0.001164
"etort-49","etort-84",0.000718
"etort-51","etort-84",0.00039
"etort-53","etort-84",0.00162
"etort-55","etort-84",0.001389
"etort-56 (sheared2)","etort-84",0.001007
"etort-58","etort-84",0.001904
"etort-59","etort-84",0.000459
"etort-62","etort-84",0.001662
"etort-78","etort-84",0.001495
"etort-79","etort-84",0.001737
"etort-80","etort-84",0.001645
"etort-81","etort-84",0.001374
"etort-82","etort-84",0.001936
"etort-83","etort-84",0.001451
"etort-84","etort-84",0.126787
"etort-15","etort-85",0.001908
"etort-17","etort-85",0.001579
"etort-31","etort-85",0.00268
"etort-36","etort-85",0.002044
"etort-37","etort-85",0.002425
"etort-38","etort-85",0.002023
"etort-46","etort-85",0.001309
"etort-47","etort-85",0.00114
"etort-48","etort-85",0.001113
"etort-49","etort-85",0.00106
"etort-51","etort-85",0.000525
"etort-53","etort-85",0.001864
"etort-55","etort-85",0.001547
"etort-56 (sheared2)","etort-85",0.001017
"etort-58","etort-85",0.002154
"etort-59","etort-85",0.000227
"etort-62","etort-85",0.0018
"etort-78","etort-85",0.00174
"etort-79","etort-85",0.001636
"etort-80","etort-85",0.001911
"etort-81","etort-85",0.001495
"etort-82","etort-85",0.002481
"etort-83","etort-85",0.001645
"etort-84","etort-85",0.001705
"etort-85","etort-85",0.13268
"etort-15","etort-86",0.004262
"etort-17","etort-86",0.005462
"etort-31","etort-86",0.009826
"etort-36","etort-86",0.003078
"etort-37","etort-86",0.004804
"etort-38","etort-86",0.005807
"etort-46","etort-86",0.001065
"etort-47","etort-86",0.001075
"etort-48","etort-86",0.000984
"etort-49","etort-86",0.000941
"etort-51","etort-86",1e-06
"etort-53","etort-86",0.005332
"etort-55","etort-86",0.001131
"etort-56 (sheared2)","etort-86",0.001561
"etort-58","etort-86",0.007218
"etort-59","etort-86",0.000962
"etort-62","etort-86",0.003467
"etort-78","etort-86",0.003544
"etort-79","etort-86",0.002347
"etort-80","etort-86",0.002774
"etort-81","etort-86",0.001201
"etort-82","etort-86",0.002175
"etort-83","etort-86",0.001451
"etort-84","etort-86",0.001442
"etort-85","etort-86",0.001772
"etort-86","etort-86",0.120213
"etort-15","etort-87",0.002525
"etort-17","etort-87",0.00222
"etort-31","etort-87",0.003957
"etort-36","etort-87",0.003097
"etort-37","etort-87",0.003908
"etort-38","etort-87",0.002764
"etort-46","etort-87",0.000944
"etort-47","etort-87",0.000856
"etort-48","etort-87",0.000848
"etort-49","etort-87",0.001652
"etort-51","etort-87",0.000875
"etort-53","etort-87",0.002828
"etort-55","etort-87",0.000975
"etort-56 (sheared2)","etort-87",0.002053
"etort-58","etort-87",0.003127
"etort-59","etort-87",0.000511
"etort-62","etort-87",0.00214
"etort-78","etort-87",0.002952
"etort-79","etort-87",0.00292
"etort-80","etort-87",0.003516
"etort-81","etort-87",0.00126
"etort-82","etort-87",0.00192
"etort-83","etort-87",0.001223
"etort-84","etort-87",0.001332
"etort-85","etort-87",0.00156
"etort-86","etort-87",0.002434
"etort-87","etort-87",0.115387
"etort-15","etort-89",0.001766
"etort-17","etort-89",0.001636
"etort-31","etort-89",0.002888
"etort-36","etort-89",0.001394
"etort-37","etort-89",0.002329
"etort-38","etort-89",0.00187
"etort-46","etort-89",0.001153
"etort-47","etort-89",0.001337
"etort-48","etort-89",0.001177
"etort-49","etort-89",0.001169
"etort-51","etort-89",0.000614
"etort-53","etort-89",0.001993
"etort-55","etort-89",0.001292
"etort-56 (sheared2)","etort-89",0.001066
"etort-58","etort-89",0.002312
"etort-59","etort-89",0.000412
"etort-62","etort-89",0.001536
"etort-78","etort-89",0.001624
"etort-79","etort-89",0.001678
"etort-80","etort-89",0.001711
"etort-81","etort-89",0.001303
"etort-82","etort-89",0.002374
"etort-83","etort-89",0.001841
"etort-84","etort-89",0.001971
"etort-85","etort-89",0.001752
"etort-86","etort-89",0.001651
"etort-87","etort-89",0.001585
"etort-89","etort-89",0.130479
"etort-15","etort-90",0.002872
"etort-17","etort-90",0.002442
"etort-31","etort-90",0.004941
"etort-36","etort-90",0.00237
"etort-37","etort-90",0.003535
"etort-38","etort-90",0.003372
"etort-46","etort-90",0.002039
"etort-47","etort-90",0.001787
"etort-48","etort-90",0.001771
"etort-49","etort-90",0.001634
"etort-51","etort-90",0.002137
"etort-53","etort-90",0.003197
"etort-55","etort-90",0.002445
"etort-56 (sheared2)","etort-90",0.001668
"etort-58","etort-90",0.003808
"etort-59","etort-90",0.000746
"etort-62","etort-90",0.002651
"etort-78","etort-90",0.002451
"etort-79","etort-90",0.002463
"etort-80","etort-90",0.00245
"etort-81","etort-90",0.002338
"etort-82","etort-90",0.003845
"etort-83","etort-90",0.002427
"etort-84","etort-90",0.002978
"etort-85","etort-90",0.003367
"etort-86","etort-90",0.002417
"etort-87","etort-90",0.002056
"etort-89","etort-90",0.002965
"etort-90","etort-90",0.201387
"etort-15","etort-93",0.002725
"etort-17","etort-93",0.002456
"etort-31","etort-93",0.004288
"etort-36","etort-93",0.003443
"etort-37","etort-93",0.004469
"etort-38","etort-93",0.00286
"etort-46","etort-93",0.000853
"etort-47","etort-93",0.001022
"etort-48","etort-93",0.000738
"etort-49","etort-93",0.00123
"etort-51","etort-93",0.000963
"etort-53","etort-93",0.002871
"etort-55","etort-93",0.001039
"etort-56 (sheared2)","etort-93",0.002008
"etort-58","etort-93",0.003283
"etort-59","etort-93",0.000529
"etort-62","etort-93",0.002297
"etort-78","etort-93",0.003014
"etort-79","etort-93",0.002436
"etort-80","etort-93",0.003296
"etort-81","etort-93",0.001214
"etort-82","etort-93",0.001791
"etort-83","etort-93",0.001305
"etort-84","etort-93",0.001387
"etort-85","etort-93",0.001564
"etort-86","etort-93",0.002463
"etort-87","etort-93",0.003109
"etort-89","etort-93",0.001667
"etort-90","etort-93",0.002154
"etort-93","etort-93",0.11583
"etort-15","etort-94",0.001604
"etort-17","etort-94",0.001486
"etort-31","etort-94",0.002492
"etort-36","etort-94",0.001662
"etort-37","etort-94",0.002362
"etort-38","etort-94",0.001702
"etort-46","etort-94",0.000725
"etort-47","etort-94",0.000821
"etort-48","etort-94",0.000746
"etort-49","etort-94",0.001773
"etort-51","etort-94",0.001189
"etort-53","etort-94",0.001679
"etort-55","etort-94",0.001059
"etort-56 (sheared2)","etort-94",0.001582
"etort-58","etort-94",0.001883
"etort-59","etort-94",0.00025
"etort-62","etort-94",0.001414
"etort-78","etort-94",0.001693
"etort-79","etort-94",0.001735
"etort-80","etort-94",0.002037
"etort-81","etort-94",0.000991
"etort-82","etort-94",0.001736
"etort-83","etort-94",0.000968
"etort-84","etort-94",0.000877
"etort-85","etort-94",0.001275
"etort-86","etort-94",0.001435
"etort-87","etort-94",0.001863
"etort-89","etort-94",0.001235
"etort-90","etort-94",0.001898
"etort-93","etort-94",0.001777
"etort-94","etort-94",0.115448
"etort-15","etort-95",0.003761
"etort-17","etort-95",0.003318
"etort-31","etort-95",0.005805
"etort-36","etort-95",0.002819
"etort-37","etort-95",0.004088
"etort-38","etort-95",0.003914
"etort-46","etort-95",0.00132
"etort-47","etort-95",0.001208
"etort-48","etort-95",0.001107
"etort-49","etort-95",0.001113
"etort-51","etort-95",0.000359
"etort-53","etort-95",0.003822
"etort-55","etort-95",0.001445
"etort-56 (sheared2)","etort-95",0.00172
"etort-58","etort-95",0.004298
"etort-59","etort-95",0.001138
"etort-62","etort-95",0.003632
"etort-78","etort-95",0.003085
"etort-79","etort-95",0.00242
"etort-80","etort-95",0.002511
"etort-81","etort-95",0.001307
"etort-82","etort-95",0.002411
"etort-83","etort-95",0.001689
"etort-84","etort-95",0.001709
"etort-85","etort-95",0.001967
"etort-86","etort-95",0.003328
"etort-87","etort-95",0.002562
"etort-89","etort-95",0.001872
"etort-90","etort-95",0.003358
"etort-93","etort-95",0.002443
"etort-94","etort-95",0.001513
"etort-95","etort-95",0.131814
"etort-15","etort-112",0.002328
"etort-17","etort-112",0.001915
"etort-31","etort-112",0.003598
"etort-36","etort-112",0.001266
"etort-37","etort-112",0.001906
"etort-38","etort-112",0.002138
"etort-46","etort-112",0.000468
"etort-47","etort-112",0.000484
"etort-48","etort-112",0.000252
"etort-49","etort-112",0.000303
"etort-51","etort-112",-0.000413
"etort-53","etort-112",0.002546
"etort-55","etort-112",0.000551
"etort-56 (sheared2)","etort-112",0.000624
"etort-58","etort-112",0.002756
"etort-59","etort-112",0.001971
