subdir  beta   gamma1  gamma2  gamma3  gamma4  gamma5  gamma6  delta1  delta2  delta3  delta4  delta5  delta6
500x    4e-6   .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
100x    .0001  .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
10x     .01    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
masked  1.0    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001    .001
