"etort1","etort2","DISTANCE","pi","npi"
"etort-1","etort-96",274.5787884,0.211593,0.247307181119774
"etort-1","etort-97",331.4571657,0.208752,0.254651829646725
"etort-1","etort-98",310.076622,0.215632,0.253236721670858
"etort-1","etort-99",304.8824602,0.212819,0.250181684775816
"etort-1","etort-100",349.8284765,0.214442,0.256816580898739
"etort-1","etort-102",322.2340488,0.204399,0.253113053847391
"etort-1","etort-103",288.3613987,0.203655,0.249917762651005
"etort-1","etort-104",302.712386,0.208072,0.249926417745174
"etort-1","etort-105",318.35558,0.207423,0.25437842667531
"etort-1","etort-106",427.8855808,0.207211,0.266417793345595
"etort-1","etort-107",430.410139,0.201704,0.267877534339802
"etort-1","etort-108",447.2620368,0.201618,0.271256165706728
"etort-1","etort-109",398.1170378,0.200667,0.259869604779782
"etort-1","etort-110",426.0964505,0.218299,0.267884277380548
"etort-1","etort-111",414.6899018,0.214764,0.264326690685901
"etort-1","etort-112",216.4297202,0.209232,0.248465892120439
"etort-1","etort-113",203.068342,0.208135,0.245953825368412
"etort-1","etort-115",270.279276,0.213829,0.247998347191864
"etort-1","etort-116",277.145954,0.209858,0.248059368769927
"etort-1","etort-117",276.7801955,0.212218,0.251456077726052
"etort-1","etort-119",244.6932552,0.203399,0.257857185993784
"etort-1","etort-120",207.1949847,0.204061,0.25568955380741
"etort-1","etort-121",361.5503797,0.212324,0.256709146707119
"etort-1","etort-122",362.5342582,0.213401,0.257383472774461
"etort-1","etort-123",360.7650727,0.214095,0.257583566642609
"etort-1","etort-124",365.9249353,0.210333,0.256309152667008
"etort-1","etort-125",358.4474387,0.212288,0.255216799782122
"etort-1","etort-126",373.4610281,0.214376,0.259203833303677
"etort-1","etort-127",371.5598794,0.215501,0.258097168055912
"etort-1","etort-128",370.5353339,0.211194,0.256577703992599
"etort-1","etort-129",374.8280798,0.21289,0.258139531468769
"etort-1","etort-130",194.3424031,0.204809,0.2409473833016
"etort-1","etort-131",189.7427798,0.20375,0.242649467830585
"etort-1","etort-132",191.0596372,0.205837,0.242496540903497
"etort-1","etort-133",196.9883477,0.203311,0.238537364762869
"etort-1","etort-134",195.6227473,0.203881,0.240952964392479
