"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","hab.fact","score","dir"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3970123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1932704575,32,423018.2,"./run_847271/iter_497493"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,14093.6725,0.726,43156.9415,1650824568,32,423808.5,"./run_847271/iter_903647"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3990123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1935739091,32,424655.6,"./run_847271/iter_602969"
8.5048e-08,6089.1335,526965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1492347544,32,425170.9,"./run_847271/iter_617049"
8.3117e-08,5251.6236,553970.7876,586033.8834,3817690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,951322861,32,425178.4,"./run_847271/iter_653719"
8.3117e-08,5251.6236,552970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,954575357,32,425849,"./run_847271/iter_764446"
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13495.2411,0.7311,43331.5992,1381989400,32,426872.6,"./run_847271/iter_711329"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.727,43156.9415,401720037,32,426898.8,"./run_847271/iter_815066"
8.5048e-08,6089.1335,525965.9324,610709.1584,3877252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1810803850,32,426958.5,"./run_847271/iter_830045"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43432.1635,1623191010,32,427764.6,"./run_847271/iter_076729"
8.4331e-08,5408.7629,547742.9097,592521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1120753393,32,429621.6,"./run_847271/iter_415175"
8.4117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1251121477,32,429754.3,"./run_847271/iter_772566"
8.3331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1707261477,32,432937.6,"./run_847271/iter_038837"
8.3131e-08,5352.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1559702044,32,432980.1,"./run_847271/iter_315056"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3965710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1320953927,32,433281.9,"./run_847271/iter_446805"
8.3131e-08,5252.4936,554004.5776,587001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1018601624,32,434821.7,"./run_847271/iter_382751"
8.5048e-08,5989.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,951551748,32,437723,"./run_847271/iter_115316"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109577.3396,13388.1999,0.7197,43292.6738,258011332,32,438285.3,"./run_847271/iter_784085"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,122047.6128,107216.0383,13247.0009,0.712,43266.1273,734100546,32,438520,"./run_847271/iter_744844"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43192.6738,693376264,32,439453.9,"./run_847271/iter_999164"
8.3117e-08,5151.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,486188044,32,439709.7,"./run_847271/iter_923084"
8.5048e-08,6189.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1509530780,32,440368.1,"./run_847271/iter_940564"
6.9108e-07,9674.0092,490010.2314,586001.7507,4051702.2579,4083699.431,49877.3957,23693.7913,2867.0586,1.1796,42041.3921,1474373485,32,440530.2,"./run_324098/iter_000034"
8.4331e-08,4010.021,426015.8851,681993.2701,3891716.3923,3955710.7385,130167.4393,1699.5705,7896.4082,1.0904,41299.1413,570180783,32,440571.6,"./run_646859/iter_000087"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1192970633,32,444222.1,"./run_847271/iter_594631"
8.4331e-08,5408.7629,546742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,114084927,32,445496.5,"./run_847271/iter_687301"
8.5331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1965141001,32,445830.7,"./run_847271/iter_738474"
1.7786e-07,21772.0871,586001.7507,522007.4045,3859719.2192,4051702.2579,64145.9442,4044.5845,11171.1875,0.7642,63560.1058,931737595,32,448367,"./run_076982/iter_000041"
8.3131e-08,5252.4936,554004.5776,586001.7507,3817722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,78699043,32,450170.8,"./run_847271/iter_980199"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43173.2948,1820374304,32,451692.9,"./run_847271/iter_378410"
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7311,43331.5992,1077371537,32,452048.5,"./run_847271/iter_554460"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43256.9415,404743309,32,452534.1,"./run_847271/iter_276580"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125890.4072,78880.0249,13993.6725,0.726,43156.9415,1287433323,32,453286,"./run_847271/iter_214480"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13347.0009,0.712,43266.1273,895313019,32,454175.9,"./run_847271/iter_265232"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129777.6875,14662.0277,0.7894,43532.1635,1712397587,32,455082.9,"./run_847271/iter_111310"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78780.0249,13993.6725,0.726,43156.9415,202715090,32,456009.3,"./run_847271/iter_137582"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43392.6738,630454570,32,457157.2,"./run_847271/iter_400075"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13149.1954,0.6705,43273.2948,1408873356,32,457277.7,"./run_847271/iter_426829"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3945751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1377362123,32,457402.6,"./run_847271/iter_676927"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132794.1258,129877.6875,14662.0277,0.7894,43532.1635,497176948,32,458328.7,"./run_847271/iter_007427"
8.4048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,80677845,32,458589,"./run_847271/iter_136879"
8.2117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,459879145,32,459712.3,"./run_847271/iter_190886"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43632.1635,820522570,32,460294.9,"./run_847271/iter_902216"
9.5286e-08,6726.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,570425665,32,465859.9,"./run_847271/iter_777122"
8.4331e-08,5408.7629,547742.9097,593521.9714,3831101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,343770525,32,467654.3,"./run_847271/iter_530664"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13288.1999,0.7197,43292.6738,461428485,32,468905.1,"./run_847271/iter_797642"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.713,43266.1273,1492938903,32,470041.1,"./run_847271/iter_934130"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,286420595,32,470661.8,"./run_847271/iter_043141"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14562.0277,0.7894,43532.1635,1616222480,32,472099.1,"./run_847271/iter_754512"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,903402348,32,472467.9,"./run_847271/iter_024487"
8.3131e-08,5252.4936,553004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1770226367,32,474839.4,"./run_847271/iter_232904"
8.6048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,993575110,32,474996.8,"./run_847271/iter_905105"
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7402.3346,13249.1954,0.6705,43273.2948,1959903190,32,475810.8,"./run_847271/iter_356352"
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7311,43431.5992,484688200,32,479581.3,"./run_847271/iter_720657"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14762.0277,0.7894,43532.1635,171633376,32,480106.3,"./run_847271/iter_121007"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7884,43532.1635,1023141093,32,481670.8,"./run_847271/iter_292844"
8.6112e-08,5639.1776,537610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13595.2411,0.7311,43331.5992,584443302,32,484118.4,"./run_847271/iter_649504"
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13147.0009,0.712,43266.1273,1740666431,32,484698.5,"./run_847271/iter_616886"
8.5517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,195580493,32,486160.3,"./run_847271/iter_911479"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132994.1258,129877.6875,14662.0277,0.7894,43532.1635,1112088756,32,488665.8,"./run_847271/iter_299095"
8.5048e-08,6089.1335,525965.9324,610709.1584,3897252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,115414720,32,489018.5,"./run_847271/iter_476652"
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43056.9415,86679012,32,490041.6,"./run_847271/iter_360545"
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4190000,132894.1258,129877.6875,14662.0277,0.7894,43532.1635,1703408046,32,490439.4,"./run_847271/iter_250538"
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112693.105,13595.2411,0.7311,43331.5992,1916067876,32,491994.7,"./run_847271/iter_202334"
