"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","score","dir","ntrees","hab.fact"
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123139.9147,109477.3396,13388.1999,0.7197,43292.6738,515581748,369375.4,"./run_847271/iter_559763",500,32
8.4357e-08,5433.6213,546947.2554,594149.9309,3842787.8515,3993153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,264937218,369706,"./run_847271/iter_503870",500,32
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13545.0299,0.7213,43157.5163,1923438228,373758.1,"./run_829585/iter_000001",500,32
8.4747e-08,5468.1897,545407.1716,596267.39,3846085.8465,3979137.436,123447.3133,109051.5712,13441.9357,0.7221,43298.1655,807028351,377128.7,"./run_847271/iter_750749",500,32
8.3332e-08,5409.6388,547714.875,593544.0975,3841161.0854,3980230.4298,123043.7131,109437.9499,13388.9793,0.7197,43292.4991,1511892241,381253.6,"./run_847271/iter_062791",500,32
9.7233e-08,7207.9534,586001.7507,458013.0582,4051702.2579,3955710.7385,82989.5951,89105.1699,19760.7655,0.959,64506.0416,709545968,384141.7,"./run_301094/iter_000002",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109377.3396,13388.1999,0.7197,43292.6738,212701690,386195.6,"./run_847271/iter_394599",500,32
8.4379e-08,5554.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,747005768,386700.6,"./run_847271/iter_816379",500,32
8.3381e-08,5416.5929,547440.7902,593867.5416,3841745.9968,3981288.3104,123091.6485,109392.0599,13395.2689,0.72,43293.1721,945293695,388632.1,"./run_847271/iter_387905",500,32
8.4381e-08,5416.5929,546440.7902,593867.5416,3841745.9968,3981288.3104,123091.6485,109392.0599,13395.2689,0.72,43293.1721,175508956,388739.8,"./run_847271/iter_233633",500,32
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123904.1537,101551.9984,13545.0299,0.7213,43257.5163,1950411014,388812.3,"./run_847271/iter_646037",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7207,43292.6738,1501732409,388851,"./run_847271/iter_227537",500,32
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,4001605.9853,123804.1537,101551.9984,13445.0299,0.7213,43257.5163,1508099679,389725.1,"./run_847271/iter_142330",500,32
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43366.1273,1862008648,390509.9,"./run_847271/iter_366431",500,32
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6715,43273.2948,1471715013,390585.8,"./run_847271/iter_327444",500,32
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43374.0283,994185715,391981.8,"./run_847271/iter_519162",500,32
8.4342e-08,5418.5302,547430.2841,593768.707,3841764.2003,3981314.2818,123082.2714,109138.0911,13396.8919,0.7198,43290.7253,81582300,392258.4,"./run_847271/iter_537674",500,32
8.4334e-08,5409.8833,547705.2403,593555.4673,3841181.6464,3980267.6167,123045.3981,109436.3367,13389.2004,0.7197,43292.5228,1876465999,392317,"./run_847271/iter_363385",500,32
8.4379e-08,5454.5461,547277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,1080183551,392443.1,"./run_847271/iter_931403",500,32
8.443e-08,5502.2256,545751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,1074992001,392724,"./run_847271/iter_183542",500,32
8.4332e-08,5409.6388,547714.875,593544.0975,3841161.0854,3980230.4298,123043.7131,109437.9499,13388.9793,0.7197,43292.4991,526363700,394054.4,"./run_847271/iter_612793",500,32
8.4747e-08,5468.1897,545407.1716,596267.39,3846085.8465,3989137.436,123447.3133,109051.5712,13441.9357,0.7221,43198.1655,1954893162,394987.7,"./run_847271/iter_056527",500,32
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123345.2246,105274.1787,13471.3738,0.7206,43274.0283,952371126,395258.1,"./run_847271/iter_795554",500,32
8.3117e-08,5251.6236,553970.7876,586033.8834,3837690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,585008471,395357,"./run_847271/iter_766231",500,32
8.3131e-08,5252.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6695,43273.2948,1491161374,395601,"./run_847271/iter_571065",500,32
8.4332e-08,5409.6388,547714.875,593544.0975,3831161.0854,3980230.4298,123043.7131,109437.9499,13388.9793,0.7197,43292.4991,150932853,396990.3,"./run_847271/iter_105399",500,32
8.443e-08,5502.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7216,43274.0283,1260539661,398004.1,"./run_847271/iter_895386",500,32
8.3131e-08,5152.4936,554004.5776,586001.7507,3827722.0461,3955710.7385,121967.8147,7302.3346,13249.1954,0.6705,43273.2948,1336629217,398615,"./run_847271/iter_019522",500,32
8.4332e-08,5409.6388,547714.875,594544.0975,3841161.0854,3980230.4298,123043.7131,109437.9499,13388.9793,0.7197,43292.4991,1294254167,399011.8,"./run_847271/iter_381999",500,32
8.4381e-08,5416.5929,547440.7902,592867.5416,3841745.9968,3981288.3104,123091.6485,109392.0599,13395.2689,0.72,43293.1721,946969119,399013.6,"./run_847271/iter_273511",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13488.1999,0.7197,43292.6738,1674244238,399214.9,"./run_847271/iter_800159",500,32
8.4332e-08,5409.6388,547714.875,593544.0975,3841161.0854,3980230.4298,123043.7131,109437.9499,13388.9793,0.7197,43192.4991,1931389623,399553.6,"./run_847271/iter_107823",500,32
8.3117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43166.1273,778212650,399868.5,"./run_847271/iter_872207",500,32
8.4331e-08,5408.7629,547742.9097,593521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7187,43292.6738,1602517221,401569.4,"./run_847271/iter_979312",500,32
8.4747e-08,5468.1897,546407.1716,596267.39,3846085.8465,3989137.436,123447.3133,109051.5712,13441.9357,0.7221,43298.1655,1326889022,401842.9,"./run_847271/iter_911923",500,32
